episode_id,file,host_speaker_id,method,confidence,num_turns,num_speakers,guest_tokens,host_tokens
42060,data/conversation_moves_labeled/42060.json,SPEAKER_00,heuristic_score,0.9714,12,2,joe courtney,
42061,data/conversation_moves_labeled/42061.json,SPEAKER_01,heuristic_score,0.742,19,2,john larson,
42073,data/conversation_moves_labeled/42073.json,SPEAKER_00,direct_host_cue,1.0,26,2,rick santorum,aamon ross kingdom in politics
42077,data/conversation_moves_labeled/42077.json,SPEAKER_01,direct_host_cue,1.0,29,2,gary palmer,aamon ross kingdom in politics
42088,data/conversation_moves_labeled/42088.json,SPEAKER_00,direct_host_cue,1.0,41,2,roger marshall,jan jekielek epoch times senior
42105,data/conversation_moves_labeled/42105.json,SPEAKER_00,direct_host_cue,1.0,55,2,francis rooney,jesuit conference amdg mike jordan laskey
42106,data/conversation_moves_labeled/42106.json,SPEAKER_00,direct_host_cue,1.0,23,2,bob casey,jesuit conference amdg mike jordan laskey
42131,data/conversation_moves_labeled/42131.json,SPEAKER_00,heuristic_score,0.8827,23,2,ted cruz,daily wire dailywire andrew klavan
42132,data/conversation_moves_labeled/42132.json,SPEAKER_01,heuristic_score,0.6528,25,2,mike pence,daily wire dailywire andrew klavan
42133,data/conversation_moves_labeled/42133.json,SPEAKER_00,heuristic_score,0.6667,23,2,jim jordan,daily wire dailywire andrew klavan
42142,data/conversation_moves_labeled/42142.json,SPEAKER_00,direct_host_cue,1.0,13,2,devin nunes,trent loos
42149,data/conversation_moves_labeled/42149.json,SPEAKER_01,heuristic_score,0.7134,17,2,cliff bentz,wnyc prx wnycdigital gmail amy walter
42153,data/conversation_moves_labeled/42153.json,SPEAKER_00,direct_host_cue,1.0,19,2,ashley hinson,wnyc prx wnycdigital gmail amy walter
42197,data/conversation_moves_labeled/42197.json,SPEAKER_01,direct_host_cue,1.0,38,2,mikie sherrill,acme general corp
42227,data/conversation_moves_labeled/42227.json,SPEAKER_00,direct_host_cue,1.0,51,2,darren soto,congressional hispanic caucus
42327,data/conversation_moves_labeled/42327.json,SPEAKER_01,heuristic_score,0.6528,27,2,ron johnson,wiba am
42357,data/conversation_moves_labeled/42357.json,SPEAKER_00,direct_host_cue,1.0,19,2,ron johnson,wiba am
42504,data/conversation_moves_labeled/42504.json,SPEAKER_00,direct_host_cue,1.0,38,2,chellie pingree,heritage info heritageradionetwork katy keiffer
42505,data/conversation_moves_labeled/42505.json,SPEAKER_01,direct_host_cue,1.0,19,2,lisa blunt rochester,information technology industry council janae washington
42562,data/conversation_moves_labeled/42562.json,SPEAKER_01,direct_host_cue,1.0,22,2,derek kilmer,penn state mccourtney for democracy jcs psu edu jenna spinelle
42622,data/conversation_moves_labeled/42622.json,SPEAKER_00,heuristic_score,0.6126,21,2,brett guthrie,ket renee shaw
42626,data/conversation_moves_labeled/42626.json,SPEAKER_00,heuristic_score,0.9146,45,2,thomas massie,ket renee shaw
42653,data/conversation_moves_labeled/42653.json,SPEAKER_01,direct_host_cue,1.0,15,2,donald norcross,david wildstein
