category,comparison,pair_count,mean_cosine_similarity,ci95_low,ci95_high
business,Claim Only,173617,0.7994257078842664,0.7991486093560879,0.7997222605982982
commentary,Claim Only,36283,0.7895524592547184,0.7888770396095481,0.7902251870124702
news,Claim Only,2732,0.7892556221689347,0.7869386744321396,0.7916745750503519
political,Claim Only,59724,0.7940947608004922,0.7935922810977234,0.7945839402196424
religion,Claim Only,65032,0.8011082133415961,0.8005876927165575,0.8016088352336204
sports,Claim Only,14484,0.7936465986601821,0.7925706552315346,0.7947294030092642
business,Assumption Context,173617,0.8344018486245959,0.8341897062358767,0.8346180781497801
commentary,Assumption Context,36283,0.8250156914905608,0.8245411440322689,0.8254791997064469
news,Assumption Context,2732,0.8235187323908506,0.8217086749764958,0.8252658720399589
political,Assumption Context,59724,0.8279583276717344,0.8276089586424324,0.8283049522735607
religion,Assumption Context,65032,0.8356262950781402,0.8352714546142231,0.8359895494456054
sports,Assumption Context,14484,0.8220047223299651,0.8211908295283542,0.8227809130269966
business,Baseline,173617,0.7174690688613623,0.7172987770838845,0.7176313771911842
commentary,Baseline,36283,0.7201192699108077,0.7197284594709226,0.7204834815239894
news,Baseline,2732,0.7189433808557111,0.7175202818202894,0.7204609706970599
political,Baseline,59724,0.7058523877637799,0.7055876959616014,0.7061470444991513
religion,Baseline,65032,0.7206186156356513,0.7203269788455312,0.7208888621568319
sports,Baseline,14484,0.7151193014785618,0.7144848072394683,0.7157745633323699
