delta_stance_pt,n_transition_rows,mean_delta_log_words_per_second,std_delta_log_words_per_second,se_delta_log_words_per_second,ci_low_delta_log_words_per_second,ci_high_delta_log_words_per_second
-10,13,-0.11847325696530596,0.5332442604455122,0.1478953479525514,-0.4083481389523067,0.17140162502169476
-9,12,0.005916242666758091,0.1967557570729321,0.05679849465533299,-0.10540880685769456,0.11724129219121075
-8,159,0.0456980705656737,0.5258523443480556,0.04170280355388291,-0.0360394243999368,0.1274355655312842
-7,139,0.0642676798331589,0.548704280878767,0.046540489670937955,-0.026951679921879496,0.1554870395881973
-6,522,-0.010870385448855447,0.47266775414050005,0.02068810557466847,-0.051419072375205654,0.029678301477494756
-5,8201,-0.04241132469915282,0.43918425106603265,0.004849683003962835,-0.05191670338691998,-0.03290594601138566
-4,4094,-0.037218549036778584,0.4431282332400883,0.00692556966373103,-0.0507926655776914,-0.023644432495865765
-3,49363,-0.023814843716656802,0.4543002394078952,0.00204475930316153,-0.0278225719508534,-0.019807115482460204
-2,18348,-0.016331623950948632,0.45091626895777503,0.0033289060549550505,-0.022856279818660532,-0.009806968083236733
-1,16211,-0.012200836471523827,0.47429586372234195,0.003725155740434126,-0.019502141722774712,-0.00489953122027294
0,137774,0.006438509337077404,0.4753812112961939,0.0012807323490383327,0.003928273932962273,0.008948744741192536
1,19354,0.005583867174655911,0.4716209823692961,0.0033900628526671276,-0.0010606560165716582,0.012228390365883482
2,21760,0.01750686093052384,0.46419008286951374,0.0031467802247426113,0.011339171690028323,0.02367455017101936
3,52150,0.019914561111410035,0.45047980908377827,0.0019726415382406094,0.01604818369645844,0.02378093852636163
4,3551,0.01723507523377875,0.447468364026939,0.0075090846472921444,0.0025172693250861463,0.03195288114247135
5,6947,0.01974070776639222,0.4481798668574455,0.005377169094183989,0.009201456341791602,0.030279959190992838
6,491,0.0008386803205378755,0.507704217271564,0.022912370578580615,-0.04406956601348013,0.04574692665455588
7,109,-0.02979048676946759,0.3465559915530203,0.033194043801036216,-0.09485081261949857,0.03526983908056339
8,167,-0.08568625277102314,0.5089681348693459,0.039385136738146774,-0.16288112077779082,-0.008491384764255469
9,27,0.04598572614346415,0.444510041457255,0.08554599736427929,-0.12168442869052325,0.21365588097745153
10,26,-0.0531699096959793,0.613646221830298,0.1203459253675068,-0.2890479234162926,0.18270810402433402
