delta_stance_pt,n_transition_rows,mean_delta_log_iceberg_density,std_delta_log_iceberg_density,se_delta_log_iceberg_density,ci_low_delta_log_iceberg_density,ci_high_delta_log_iceberg_density
-10,13,0.011821325377935165,0.1735071566560814,0.04812222692180496,-0.08249823938880256,0.10614089014467289
-9,12,-0.02136029316268312,0.03949107325378451,0.01140009088682986,-0.04370447130086964,0.0009838849755034046
-8,159,0.11244741659794129,0.265510642419601,0.02105636359959077,0.07117694394274338,0.1537178892531392
-7,139,0.004563211967838321,0.14860950493296218,0.012604893692935956,-0.02014237967031615,0.029268803605992794
-6,522,0.017970540994773004,0.16628253340216853,0.007277988769305472,0.003705683006934279,0.03223539898261173
-5,8201,0.02408809405427041,0.11454099882227396,0.0012648166091952825,0.021609053500247655,0.02656713460829316
-4,4094,0.025090643445124305,0.11504913980018648,0.0017980818478041396,0.02156640302342819,0.028614883866820418
-3,49363,0.020416200107794512,0.12394761773463099,0.0005578756568517697,0.019322763820365043,0.02150963639522398
-2,18348,0.01422732290346787,0.1093520827350569,0.0008072958005708252,0.012645023134349053,0.015809622672586687
-1,16211,-0.0010021104530283018,0.13103343017178534,0.0010291465136599866,-0.0030192376198018758,0.001015016713745272
0,137774,-0.0010153721545738182,0.13648183384630422,0.0003676979558919226,-0.0017360601481219865,-0.00029468416102565
1,19354,0.0003683204995534327,0.1269503903142038,0.0009125331959865603,-0.0014202445645802256,0.002156885563687091
2,21760,-0.01344520449136652,0.11531496388686732,0.0007817289971662479,-0.014977393325812365,-0.011913015656920673
3,52150,-0.016664270361000762,0.12282515787344038,0.0005378487636435868,-0.01771845393774219,-0.015610086784259333
4,3551,-0.01194353895172732,0.09979394022250032,0.0016746684339285565,-0.01522588908222729,-0.00866118882122735
5,6947,-0.020676269973424047,0.11597000931377072,0.0013913841206360691,-0.023403382849870744,-0.01794915709697735
6,491,-0.028089278384991215,0.14343521809322832,0.006473140776007591,-0.04077663430596609,-0.015401922464016336
7,109,-0.0001147090828713011,0.06345978278671525,0.006078344800754064,-0.012028264892349266,0.011798846726606664
8,167,-0.1010934711442819,0.25724324281994115,0.019906079770649076,-0.1401093874947541,-0.062077554793809706
9,27,0.005689173316183645,0.06328251570515128,0.012178725825788604,-0.018181129302362018,0.029559475934729306
10,26,-0.054536725240417035,0.10506895340232483,0.020605717064277898,-0.09492393068640172,-0.014149519794432353
