episode,n_rows,n_testable,n_missing,min_p,min_q_global,min_q_episode,mean_p,median_p,n_sig_raw,n_sig_fdr_global,n_sig_fdr_episode,sig_raw_rate,sig_fdr_global_rate,sig_fdr_episode_rate,n_speakers,n_sig_speakers_raw,n_sig_speakers_fdr_global,n_sig_speakers_fdr_episode,robust_raw,robust_fdr_global,robust_fdr_episode
95962,62,56,6,3.839691832027797e-06,0.0083307842806175,0.00021502274259355662,0.5102298775056041,0.586290298852196,7,3,5,0.125,0.05357142857142857,0.08928571428571429,2,2,1,2,1,1,1
95423,62,14,48,3.990794864966467e-06,0.0083307842806175,5.587112810953054e-05,0.3304866253240911,0.19479118315324462,6,2,5,0.42857142857142855,0.14285714285714285,0.35714285714285715,2,2,1,2,1,0,1
50989,62,20,42,1.2145699010183606e-05,0.012677073341879138,0.00024291398020367212,0.388044646828076,0.21909772939129457,6,1,3,0.3,0.05,0.15,2,1,1,1,1,0,1
94313,62,22,40,5.079118305272474e-05,0.03165902170001343,0.0011174060271599443,0.47820871099532597,0.523497634439329,3,1,1,0.13636363636363635,0.045454545454545456,0.045454545454545456,2,2,1,1,1,0,0
84507,62,4,58,5.2692942355528805e-05,0.03165902170001343,0.00021077176942211522,0.5905696879713825,0.6904065097520029,1,1,1,0.25,0.25,0.25,2,1,1,1,0,0,0
50999,62,56,6,0.00044734306553106197,0.11439141083182951,0.02068807409481428,0.4226037784973714,0.4055946201110032,10,0,3,0.17857142857142858,0.0,0.05357142857142857,2,2,0,1,1,0,1
50988,62,4,58,0.0006265577801760828,0.11439141083182951,0.0025062311207043313,0.25376224198535174,0.01669398477572018,3,0,3,0.75,0.0,0.75,2,2,0,2,0,0,0
51101,62,24,38,0.00012778656043935306,0.0533508889834299,0.0030668774505444732,0.46641985862214647,0.5263116247172321,3,0,2,0.125,0.0,0.08333333333333333,2,2,0,1,1,0,0
70874,62,34,28,0.0005757815395132179,0.11439141083182951,0.014548761101838113,0.6000573092218173,0.67648939744805,3,0,2,0.08823529411764706,0.0,0.058823529411764705,2,1,0,1,1,0,0
49235,62,8,54,0.00772639013000128,0.43830179334983316,0.03368855318847248,0.49387457928844347,0.5193830395520662,2,0,2,0.25,0.0,0.25,2,1,0,1,0,0,0
49455,62,8,54,0.00037671392905067324,0.10485204358577072,0.003013711432405386,0.4662068181984401,0.4871266924337116,2,0,2,0.25,0.0,0.25,2,1,0,1,0,0,0
70867,62,8,54,0.0018902579958176987,0.1972956783134723,0.01512206396654159,0.39951358489024574,0.4653729321664272,2,0,2,0.25,0.0,0.25,2,1,0,1,0,0,0
72762,62,28,34,0.0007347601200639552,0.11439141083182951,0.020573283361790744,0.4490181262461138,0.4385889211354096,2,0,2,0.07142857142857142,0.0,0.07142857142857142,2,1,0,1,0,0,0
78183,62,4,58,0.002247350886122602,0.22207947210624385,0.006149496093628213,0.1974768565074863,0.1681801782520949,2,0,2,0.5,0.0,0.5,2,1,0,1,0,0,0
81304,62,4,58,0.008680067198853907,0.45299100694018823,0.03472026879541563,0.3457034956514869,0.28954272386691116,2,0,2,0.5,0.0,0.5,2,1,0,1,0,0,0
88452,62,4,58,0.00033254575820621874,0.10485204358577072,0.0012667221533802845,0.12972691110255807,0.051098064871631675,2,0,2,0.5,0.0,0.5,2,1,0,1,0,0,0
90994,62,8,54,0.0009003246804853832,0.11745192316212588,0.0072025974438830655,0.3119606944522744,0.27421726787043676,2,0,2,0.25,0.0,0.25,2,1,0,1,0,0,0
95947,62,4,58,0.0015702851115222925,0.17252474580540977,0.00628114044608917,0.4986957590080365,0.4979663036248737,2,0,2,0.5,0.0,0.5,2,1,0,1,0,0,0
80564,62,56,6,0.000619451511607907,0.11439141083182951,0.03468928465004279,0.42485589308583044,0.4243391043936313,5,0,1,0.08928571428571429,0.0,0.017857142857142856,2,2,0,1,1,0,0
49228,62,32,30,0.0002961544957808919,0.10485204358577072,0.00947694386498854,0.5222953743582102,0.5168015870797931,3,0,1,0.09375,0.0,0.03125,2,1,0,1,1,0,0
49233,62,34,28,0.0008438871492038548,0.11525821176503628,0.028692163072931064,0.4194411486712055,0.36451964881130783,3,0,1,0.08823529411764706,0.0,0.029411764705882353,2,2,0,1,1,0,0
49234,62,32,30,0.0004663899337961088,0.11439141083182951,0.014924477881475481,0.4623822883554493,0.46296196338933093,3,0,1,0.09375,0.0,0.03125,2,2,0,1,1,0,0
84126,62,56,6,0.0003538331662186018,0.10485204358577072,0.0198146573082417,0.48992485608890385,0.42797024888388513,3,0,1,0.05357142857142857,0.0,0.017857142857142856,2,1,0,1,1,0,0
84779,62,12,50,0.0008280568554602472,0.11525821176503628,0.009936682265522967,0.5217081881307638,0.5884183010111943,3,0,1,0.25,0.0,0.08333333333333333,2,1,0,1,1,0,0
49220,62,32,30,0.0006918591156375878,0.11439141083182951,0.02213949170040281,0.5922376873596601,0.7352446666183174,2,0,1,0.0625,0.0,0.03125,2,1,0,1,0,0,0
49225,62,12,50,0.0007856173129619239,0.11525821176503628,0.009427407755543087,0.3513365042600496,0.29895543002284347,2,0,1,0.16666666666666666,0.0,0.08333333333333333,2,1,0,1,0,0,0
91564,62,8,54,0.0017068754006349708,0.18272319993976932,0.013655003205079766,0.3670735974691918,0.17027044046279782,2,0,1,0.25,0.0,0.125,2,1,0,1,0,0,0
92925,62,16,46,0.00213489600385814,0.21739489795384723,0.03415833606173024,0.41815780673683833,0.36832360179985224,2,0,1,0.125,0.0,0.0625,2,2,0,1,0,0,0
45319,62,8,54,0.0009283625064311746,0.11745192316212588,0.007426900051449397,0.34925135292422765,0.2752583114926377,1,0,1,0.125,0.0,0.125,2,1,0,1,0,0,0
45336,62,18,44,0.0009802664537604956,0.12037095424853143,0.01764479616768892,0.3973250061328071,0.39027072131172325,1,0,1,0.05555555555555555,0.0,0.05555555555555555,2,1,0,1,0,0,0
51684,62,8,54,0.0003480941938464968,0.10485204358577072,0.0027847535507719745,0.5026892393366974,0.5671561484890664,1,0,1,0.125,0.0,0.125,2,1,0,1,0,0,0
51924,62,12,50,0.0025373563288769154,0.23656082057662559,0.030448275946522985,0.4516150436001245,0.377071002038177,1,0,1,0.08333333333333333,0.0,0.08333333333333333,2,1,0,1,0,0,0
72849,62,10,52,0.0005495592501980791,0.11439141083182951,0.005495592501980791,0.6355982409029095,0.7306758094118191,1,0,1,0.1,0.0,0.1,2,1,0,1,0,0,0
80247,62,8,54,0.005829415001737604,0.3966204815281393,0.04663532001390083,0.2731821838590521,0.2065471826100026,1,0,1,0.125,0.0,0.125,2,1,0,1,0,0,0
82736,62,4,58,0.010452728335292625,0.49332131720085687,0.0418109133411705,0.4736064907406801,0.5138500527252482,1,0,1,0.25,0.0,0.25,2,1,0,1,0,0,0
83813,62,4,58,0.007569006240706408,0.43830179334983316,0.03027602496282563,0.48792255339753354,0.5698154327262165,1,0,1,0.25,0.0,0.25,2,1,0,1,0,0,0
89419,62,4,58,0.01099554477883556,0.4989826027352007,0.04398217911534224,0.15595151164230056,0.09075401053787796,1,0,1,0.25,0.0,0.25,2,1,0,1,0,0,0
91563,62,6,56,0.007652591197584273,0.43830179334983316,0.04591554718550564,0.3015646676402184,0.25008332572258385,1,0,1,0.16666666666666666,0.0,0.16666666666666666,2,1,0,1,0,0,0
50990,62,56,6,0.004006623680363839,0.3216856512599813,0.22437092610037498,0.4218504226197812,0.4007642123752918,7,0,0,0.125,0.0,0.0,2,2,0,0,1,0,0
45324,62,32,30,0.006090498224625755,0.40361635060019885,0.16569625992524287,0.4080231360662387,0.3614537486147642,6,0,0,0.1875,0.0,0.0,2,2,0,0,1,0,0
71629,62,52,10,0.015030674684581136,0.5675352998454908,0.27034852866609016,0.5655714858276119,0.6589875394468213,6,0,0,0.11538461538461539,0.0,0.0,2,2,0,0,1,0,0
85779,62,32,30,0.007068819199382964,0.42771478489020104,0.22530623523827215,0.3630770442141561,0.2999352862961541,6,0,0,0.1875,0.0,0.0,2,2,0,0,1,0,0
74706,62,12,50,0.01831163478911419,0.592643994143812,0.09639944027831383,0.21767333407838216,0.08297352852519552,5,0,0,0.4166666666666667,0.0,0.0,2,2,0,0,1,0,0
46727,62,22,40,0.004356199079972971,0.33095513588761705,0.09583637975940536,0.3738640942312042,0.3869653023820987,4,0,0,0.18181818181818182,0.0,0.0,2,2,0,0,1,0,0
70883,62,32,30,0.007873684910476044,0.43830179334983316,0.2519579171352334,0.41418910173073076,0.35258639682210624,4,0,0,0.125,0.0,0.0,2,2,0,0,1,0,0
