offset,n_rows,n_testable,n_missing,min_p,min_q_global,min_q_episode,mean_p,median_p,n_sig_raw,n_sig_fdr_global,n_sig_fdr_episode,sig_raw_rate,sig_fdr_global_rate,sig_fdr_episode_rate
-15,1568,75,1493,0.0004663899337961088,0.11439141083182951,0.014924477881475481,0.5287645374681491,0.5213615347318555,4,0,1,0.05333333333333334,0.0,0.013333333333333334
-14,1568,41,1527,0.011557281171623258,0.5079120935950221,0.27034852866609016,0.4814411392792553,0.41133669133234135,2,0,0,0.04878048780487805,0.0,0.0
-13,1568,83,1485,0.003573943157302845,0.29257279768116423,0.08577463577526828,0.4812553471046913,0.4942932113084813,4,0,0,0.04819277108433735,0.0,0.0
-12,1568,43,1525,0.0005757815395132179,0.11439141083182951,0.008285500032465925,0.47505979826382255,0.5300735168924495,5,0,2,0.11627906976744186,0.0,0.046511627906976744
-11,1568,112,1456,0.0002961544957808919,0.10485204358577072,0.00947694386498854,0.5494660092694452,0.589947401609104,8,0,1,0.07142857142857142,0.0,0.008928571428571428
-10,1568,51,1517,0.01577889605290553,0.5675352998454908,0.31423761054224364,0.5452101607090507,0.5602568696697348,2,0,0,0.0392156862745098,0.0,0.0
-9,1568,141,1427,0.0009802664537604956,0.12037095424853143,0.01764479616768892,0.5410591375526344,0.5863585339996426,8,0,1,0.05673758865248227,0.0,0.0070921985815602835
-8,1568,44,1524,0.029590881077217406,0.6863440472076815,0.20713616754052183,0.49670014447139865,0.5643295191555953,2,0,0,0.045454545454545456,0.0,0.0
-7,1568,163,1405,0.001475982599268895,0.17252474580540977,0.026355335038121565,0.523186684990572,0.5051076153070952,10,0,1,0.06134969325153374,0.0,0.006134969325153374
-6,1568,36,1532,0.028239121694996008,0.673704760437762,0.20713616754052183,0.522901719089892,0.6122917301460344,2,0,0,0.05555555555555555,0.0,0.0
-5,1568,235,1333,0.0007347601200639552,0.11439141083182951,0.020573283361790744,0.5117407348865028,0.5552575125651448,16,0,4,0.06808510638297872,0.0,0.01702127659574468
-4,1568,21,1547,0.008139957454635895,0.44716213648822184,0.4547958712998644,0.5536240121258332,0.572295523267071,1,0,0,0.047619047619047616,0.0,0.0
-3,1568,404,1164,0.0005495592501980791,0.11439141083182951,0.005495592501980791,0.49985697988882793,0.5037137284385149,25,0,5,0.06188118811881188,0.0,0.012376237623762377
-2,1568,6,1562,0.13732701749884502,0.9398898547596383,0.6595853087834235,0.4146136619261435,0.2618885641841405,0,0,0,0.0,0.0,0.0
-1,1568,633,935,1.2145699010183606e-05,0.012677073341879138,0.00021077176942211522,0.5093849481033276,0.5088964479840152,38,2,16,0.06003159557661927,0.00315955766192733,0.02527646129541864
0,1568,0,1568,,,,,,0,0,0,,,
1,1568,633,935,8.267032670718764e-05,0.04314357675031355,0.0005786922869503135,0.493483083259771,0.4919267754488281,43,1,15,0.0679304897314376,0.001579778830963665,0.023696682464454975
2,1568,6,1562,0.05319201845834646,0.8307209924385167,0.6595853087834235,0.3719491005015438,0.3507636353788694,0,0,0,0.0,0.0,0.0
3,1568,404,1164,3.990794864966467e-06,0.0083307842806175,5.587112810953054e-05,0.5297290342782937,0.5573256383614487,20,1,4,0.04950495049504951,0.0024752475247524753,0.009900990099009901
4,1568,21,1547,5.308099446708838e-05,0.03165902170001343,0.0009908452300523166,0.5190964557546851,0.5944221696857532,2,1,1,0.09523809523809523,0.047619047619047616,0.047619047619047616
5,1568,234,1334,0.0008280568554602472,0.11525821176503628,0.009936682265522967,0.49470095010384146,0.5049426651375892,10,0,1,0.042735042735042736,0.0,0.004273504273504274
6,1568,36,1532,3.839691832027797e-06,0.0083307842806175,0.00021502274259355662,0.5389090333207505,0.5574368133611807,2,1,2,0.05555555555555555,0.027777777777777776,0.05555555555555555
7,1568,163,1405,0.016040518654315668,0.5675352998454908,0.22749861442428843,0.5049741000368758,0.5084362255975053,6,0,0,0.03680981595092025,0.0,0.0
8,1568,44,1524,1.0086404688960067e-05,0.012677073341879138,0.0002824193312908819,0.44806329495055264,0.39909173221848426,4,1,2,0.09090909090909091,0.022727272727272728,0.045454545454545456
9,1568,141,1427,0.004006623680363839,0.3216856512599813,0.09583637975940536,0.5451820835260834,0.5594123664564891,5,0,0,0.03546099290780142,0.0,0.0
10,1568,51,1517,0.0005132381882830211,0.11439141083182951,0.007185334635962295,0.4468051855101008,0.5095073245379311,6,0,3,0.11764705882352941,0.0,0.058823529411764705
11,1568,112,1456,5.079118305272474e-05,0.03165902170001343,0.0011174060271599443,0.5380833336521306,0.5852159376489158,9,1,1,0.08035714285714286,0.008928571428571428,0.008928571428571428
12,1568,43,1525,0.008481531039104774,0.45299100694018823,0.07916095636497789,0.4499430592120213,0.4550501641650041,3,0,0,0.06976744186046512,0.0,0.0
13,1568,83,1485,0.005889932899340033,0.3966204815281393,0.14150413571810785,0.4808623780005047,0.46694613598133694,7,0,0,0.08433734939759036,0.0,0.0
14,1568,41,1527,0.0003538331662186018,0.10485204358577072,0.0198146573082417,0.4893158483912792,0.5132892526560993,4,0,2,0.0975609756097561,0.0,0.04878048780487805
15,1568,75,1493,0.0006918591156375878,0.11439141083182951,0.02213949170040281,0.5403862737907992,0.6374131868979407,7,0,1,0.09333333333333334,0.0,0.013333333333333334
