feature,coefficient,coefficient_std,abs_coefficient,importance_source
log_duration,0.0442208085759405,0.0005923842491726969,0.0442208085759405,permutation_importance
log_turn_gap_sec,0.0014895720751701355,5.149761760388653e-05,0.0014895720751701355,permutation_importance
prev_other_speaker_log_duration,0.0005354409945000776,5.8981598472911755e-05,0.0005354409945000776,permutation_importance
category,0.00046861159517834716,5.971204170747698e-05,0.00046861159517834716,permutation_importance
stance_within_speaker,0.00028813224363231915,5.566399622074982e-05,0.00028813224363231915,permutation_importance
stance_speaker_mean,0.00019260809011002514,1.894481549112112e-05,0.00019260809011002514,permutation_importance
speaker_switch_x_stance,0.00017227427758956712,7.165625443474765e-06,0.00017227427758956712,permutation_importance
prev_same_speaker_iceberg_log_ratio,0.00016781707523316294,3.996290292851361e-05,0.00016781707523316294,permutation_importance
stance_raw,0.00010204703134397235,1.241787662616991e-05,0.00010204703134397235,permutation_importance
prev_turn_stance_raw,9.002623006539266e-05,1.9180257937169646e-05,9.002623006539266e-05,permutation_importance
prev_other_speaker_stance_raw,7.907707921480055e-05,1.8714347986568395e-05,7.907707921480055e-05,permutation_importance
prev_turn_target_x_stance,6.87045311290671e-05,3.0893084134524165e-06,6.87045311290671e-05,permutation_importance
prev_other_speaker_iceberg_log_ratio,5.501548670779066e-05,3.5985077371257077e-06,5.501548670779066e-05,permutation_importance
prev_turn_iceberg_delta,4.3675787457705485e-05,7.895002489097939e-06,4.3675787457705485e-05,permutation_importance
prev_other_stance_gap,4.135069037200512e-05,1.2329063332514002e-05,4.135069037200512e-05,permutation_importance
prev_turn_stance_delta,3.056090656579127e-05,5.85526631075058e-06,3.056090656579127e-05,permutation_importance
stance_change_from_prev_turn,2.2408849095649497e-05,9.449600014300601e-06,2.2408849095649497e-05,permutation_importance
speaker_switch,1.6387145515758816e-05,3.432762523166208e-06,1.6387145515758816e-05,permutation_importance
prev_turn_iceberg_log_ratio,1.566661618301185e-05,9.223064957102422e-07,1.566661618301185e-05,permutation_importance
prev_other_target_gap,1.415198041264156e-05,2.686516657595992e-06,1.415198041264156e-05,permutation_importance
prev_turn_target_x_speaker_switch,1.2259668545330782e-05,7.0020958044750126e-06,1.2259668545330782e-05,permutation_importance
