event_time,mean_target,std_target,mean_delta_from_prev_turn,std_delta_from_prev_turn,mean_delta_from_onset_turn,std_delta_from_onset_turn,n_rows,n_events,se_target,se_delta_from_prev_turn,se_delta_from_onset_turn,ci_low_target,ci_high_target,ci_low_prev_turn,ci_high_prev_turn,ci_low_onset_turn,ci_high_onset_turn
-4,-0.0964726530138058,0.25542744280946766,-0.013611893819124041,0.353241094348975,0.05861330944048894,0.3694715642845175,3470,3470,0.004336135231236319,0.005996619382317556,0.006272147773992858,-0.10497147806702897,-0.08797382796058262,-0.02536526780846645,-0.0018585198297816317,0.04631989980346294,0.07090671907751495
-3,-0.08495102478818141,0.24688862574075515,-0.0012239099308780487,0.3343237556642974,0.07040561376860982,0.3711845745814976,3567,3567,0.004133800634667391,0.005597778144711509,0.006214960391066929,-0.0930532740321295,-0.07684877554423332,-0.012195555094512606,0.009747735232756509,0.05822429140211864,0.082586936135101
-2,-0.09597349343182834,0.24703651727667406,-0.013384896922913463,0.3538603825219103,0.05893137128608341,0.3497138667549621,3647,3647,0.004090658966257823,0.005859547254487444,0.005790885414174178,-0.10399118500569368,-0.087955801857963,-0.024869609541708852,-0.0019001843041180737,0.04758123587430202,0.0702815066978648
-1,-0.08235453962643306,0.25612321220403467,0.0,0.0,0.07270448168330808,0.37400821956727925,3652,3652,0.004238220575253218,0.0,0.0061889327321926185,-0.09066145195392937,-0.07404762729893676,0.0,0.0,0.06057417352821055,0.08483478983840562
0,-0.15505902130974114,0.2889466786682341,-0.07270448168330808,0.37400821956727925,0.0,0.0,3652,3652,0.004781369670263329,0.0061889327321926185,0.0,-0.16443050586345725,-0.14568753675602503,-0.08483478983840562,-0.06057417352821055,0.0,0.0
1,-0.0906843936764875,0.2464036400547178,-0.00832985405005444,0.3260837883620316,0.06437462763325363,0.36522537646421976,3652,3652,0.004077385130814559,0.00539589914244683,0.006043597891089055,-0.09867606853288405,-0.08269271882009097,-0.018905816369250227,0.0022461082691413482,0.05252917576671909,0.07622007949978818
2,-0.10059084289024049,0.2620236119930654,-0.018849758946039085,0.35641162857307856,0.05411388517354183,0.3694425112072472,3598,3598,0.004368273777843068,0.005941844551228179,0.0061590862817730435,-0.10915265949481291,-0.09202902628566807,-0.030495774266446316,-0.007203743625631854,0.04204207606126666,0.066185694285817
3,-0.08546434643258007,0.24619610415002458,-0.0035653465768930147,0.3265366730105576,0.06949043140587037,0.361845786382722,3520,3520,0.004149634488923315,0.005503774500823065,0.006098909485303372,-0.09359763003086977,-0.07733106283429036,-0.014352744598506221,0.007222051444720191,0.05753656881467576,0.08144429399706497
4,-0.09566664375292402,0.25323537708498783,-0.013168382454942546,0.35234298509349116,0.06047316962584886,0.36370305848172846,3436,3436,0.004320139782889742,0.006010893756813709,0.0062046941078784034,-0.10413411772738793,-0.08719916977846012,-0.024949734218297416,-0.001387030691587677,0.048311969174407186,0.07263437007729052
5,-0.09100833986000592,0.2520299360298046,-0.008612454736165114,0.34194186334854787,0.06530742634341825,0.3734254968957471,3337,3337,0.004362887613656108,0.005919352056723314,0.006464364911147558,-0.09955959958277188,-0.08245708013723996,-0.02021438476734281,0.0029894752950125805,0.05263727111756904,0.07797758156926747
6,-0.09375615670373716,0.2484684868613696,-0.011207279531632206,0.34279154205409923,0.0642681000367946,0.36065073128369896,3245,3245,0.004361782087388944,0.006017592116919942,0.006331104275588257,-0.10230524959501949,-0.08520706381245483,-0.02300176008079529,0.0005872010175308803,0.05185913565664162,0.07667706441694759
