outcome,event_time,mean_value,std_value,se_value,ci_low_value,ci_high_value,mean_delta_from_onset,se_delta_from_onset,ci_low_delta_from_onset,ci_high_delta_from_onset,n_rows,n_events
explicit_count,-1,6.26341730558598,3.013281681022909,0.04986253416723202,6.165686738618206,6.3611478725537545,1.119934282584885,0.06687989495974088,0.988849688463793,1.2510188767059771,3652,3652
explicit_count,0,5.143483023001095,2.9239804561608818,0.04838481457536601,5.048648786433378,5.238317259568812,0.0,0.0,0.0,0.0,3652,3652
explicit_count,1,5.956462212486309,3.0319253307290106,0.050171041541875086,5.858126971064234,6.0547974539083835,0.8129791894852135,0.06693806824750063,0.6817805757201123,0.9441778032503148,3652,3652
explicit_count,2,5.727626459143969,2.989792379700853,0.049843720396419496,5.629932767166987,5.825320151120951,0.5806003335186215,0.05835277209263527,0.4662289002170564,0.6949717668201867,3598,3598
explicit_count,3,6.009375,3.058243492737222,0.05154668355456351,5.908343500233056,6.1104064997669445,0.868465909090909,0.06792585757245026,0.7353312282489065,1.0016005899329115,3520,3520
explicit_share,-1,0.4727936169354984,0.07908458939511964,0.0013193598250066372,0.4702076716784854,0.4753795621925114,0.023719912603352176,0.0019533285760141733,0.019891388594364397,0.027548436612339956,3593,3593
explicit_share,0,0.44945533178619135,0.0920148521181349,0.0015400110053011976,0.446436910215801,0.4524737533565817,0.0,0.0,0.0,0.0,3570,3570
explicit_share,1,0.46975791130171873,0.0767470484399205,0.0012871876958482158,0.4672350234178562,0.47228079918558125,0.01937041948661876,0.001952328881199935,0.015543854879466888,0.02319698409377063,3555,3555
explicit_share,2,0.4670344093237388,0.08174686281771648,0.0013801977099356314,0.46432922181226494,0.46973959683521266,0.016898582747629134,0.0019783929581386537,0.013020932549677374,0.020776232945580897,3508,3508
explicit_share,3,0.4714472760273076,0.07822526993127486,0.0013360621592188816,0.46882859419523865,0.4740659578593766,0.022012291736368723,0.0019677308237716785,0.018155539321776232,0.025869044150961213,3428,3428
implicit_count,-1,6.525465498357065,2.505356174557802,0.041457593772835324,6.444208614562307,6.606722382151822,0.7902519167579408,0.05461385746149272,0.683208756133415,0.8972950773824666,3652,3652
implicit_count,0,5.735213581599123,2.2930325398510516,0.037944150420774626,5.6608430467744055,5.809584116423841,0.0,0.0,0.0,0.0,3652,3652
implicit_count,1,6.268072289156627,2.531129511919966,0.04188408025862189,6.185979491849728,6.350165086463526,0.5328587075575028,0.0548958327290439,0.4252628754085767,0.6404545397064287,3652,3652
implicit_count,2,6.084491384102279,2.479177371436275,0.04133110531486605,6.003482417685142,6.165500350519416,0.34741523068371316,0.04813129568500506,0.25307789114110324,0.4417525702263231,3598,3598
implicit_count,3,6.290625,2.5796595787428016,0.04348015332975955,6.205403899473672,6.375846100526329,0.5588068181818182,0.0565184359341398,0.4480306837509042,0.6695829526127322,3520,3520
