row_type,onset_type,reference_onset_type,outcome,n_events,reference_n_events,pre_turn_mean,onset_mean,response_mean,response_sd,response_se,response_ci_low,response_ci_high,response_minus_onset_mean,response_minus_onset_se,response_minus_onset_ci_low,response_minus_onset_ci_high,response_minus_pre_turn_mean,response_minus_pre_turn_se,response_minus_pre_turn_ci_low,response_minus_pre_turn_ci_high
group_mean,disagreement,,explicit_count,3652,,6.26341730558598,5.143483023001095,5.956462212486309,3.0319253307290106,0.050171041541875086,5.858126971064234,6.0547974539083835,0.8129791894852135,0.06693806824750063,0.6817805757201123,0.9441778032503148,-0.3069550930996714,0.05729038784185046,-0.4192442532696983,-0.1946659329296445
group_mean,agreement,,explicit_count,168894,,6.414745343233034,6.370510497708622,6.295321325801982,2.969246034304082,0.007225020345436707,6.281160285924926,6.309482365679038,-0.07518917190663967,0.010276252003442617,-0.0953306258333872,-0.055047717979892136,-0.11942401743105142,0.008193223627026966,-0.13548273574002428,-0.10336529912207856
contrast,disagreement,agreement,explicit_count,3652,168894.0,-0.15132803764705383,-1.2270274747075272,-0.33885911331567353,,0.050688601562762906,-0.4382087723786888,-0.23950945425265824,0.8881683613918532,0.067722273558596,0.755432705217005,1.0209040175667012,-0.18753107566861998,0.057873287901000756,-0.30096271995458146,-0.07409943138265851
group_mean,disagreement,,implicit_count,3652,,6.525465498357065,5.735213581599123,6.268072289156627,2.531129511919966,0.04188408025862189,6.185979491849728,6.350165086463526,0.5328587075575028,0.0548958327290439,0.4252628754085767,0.6404545397064287,-0.2573932092004381,0.049583080766149194,-0.35457604750209054,-0.1602103708987857
group_mean,agreement,,implicit_count,168894,,6.566976920435303,6.528159674115125,6.465552358283894,2.5549853509762803,0.006217006246645674,6.4533670260404685,6.477737690527319,-0.06260731583123143,0.008802124831236083,-0.07985948050045415,-0.04535515116200871,-0.10142456215140858,0.007263064545837888,-0.11566016866125084,-0.08718895564156631
contrast,disagreement,agreement,implicit_count,3652,168894.0,-0.04151142207823799,-0.7929460925160017,-0.19748006912726712,,0.04234297280283367,-0.2804722958208211,-0.11448784243371314,0.5954660233887342,0.05559703096892703,0.48649584268963725,0.7044362040878311,-0.15596864704902955,0.05011221412848849,-0.254188586740867,-0.057748707357192106
group_mean,disagreement,,explicit_share,3652,,0.4727936169354984,0.44945533178619135,0.46975791130171873,0.0767470484399205,0.0012871876958482158,0.4672350234178562,0.47228079918558125,0.01937041948661876,0.001952328881199935,0.015543854879466888,0.02319698409377063,-0.0034163502326866797,0.0016737588585310713,-0.006696917595407579,-0.00013578286996578006
group_mean,agreement,,explicit_share,168894,,0.481290166478522,0.4809978087711327,0.47971821510957074,0.07026680214405653,0.00017274428137966657,0.47937963631806657,0.4800567939010749,-0.0012827102032880893,0.00024005182567174736,-0.001753211781604714,-0.0008122086249714646,-0.001635441945023347,0.0002208882211618613,-0.002068382858500595,-0.001202501031546099
contrast,disagreement,agreement,explicit_share,3652,168894.0,-0.008496549543023646,-0.03154247698494134,-0.009960303807852011,,0.001298727358259776,-0.012505809430041172,-0.00741479818566285,0.02065312968990685,0.001967031504418709,0.01679774794124618,0.02450851143856752,-0.0017809082876633327,0.0016882714008000274,-0.005089920233231387,0.001528103657904721
group_mean,disagreement,,total_content,3652,,12.788882803943045,10.878696604600218,12.224534501642935,5.449398251745084,0.09017437972352241,12.047792717384832,12.401276285901039,1.3458378970427163,0.11897894568744476,1.1126391634953245,1.579036630590108,-0.5643483023001096,0.10365589821481154,-0.7675138628011402,-0.36118274179907894
group_mean,agreement,,total_content,168894,,12.981722263668336,12.898670171823747,12.760873684085876,5.420503079240711,0.013189626113012679,12.735022016904372,12.78672535126738,-0.1377964877378711,0.018725693712744202,-0.17449884741484972,-0.10109412806089246,-0.22084857958246001,0.015047054563412904,-0.2503408065267493,-0.19135635263817072
contrast,disagreement,agreement,total_content,3652,168894.0,-0.19283945972529182,-2.019973567223529,-0.5363391824429407,,0.0911338850018097,-0.7149615970464877,-0.35771676783939366,1.4836343847805873,0.12044351838899194,1.247565088738163,1.7197036808230115,-0.34349972271764956,0.10474234619175617,-0.5487947212534916,-0.1382047241818075
group_mean,disagreement,,iceberg_log_ratio,3652,,-0.08235453962643306,-0.15505902130974117,-0.09068439367648748,0.24640364005471802,0.0040773851308145625,-0.09867606853288402,-0.08269271882009094,0.06437462763325363,0.0060435978910890606,0.052529175766719075,0.0762200794997882,-0.00832985405005444,0.005395899142446835,-0.018905816369250233,0.002246108269141357
group_mean,agreement,,iceberg_log_ratio,168894,,-0.0556197779473688,-0.056547984910735746,-0.06013179419498619,0.22403659499135997,0.0005451447735331624,-0.06120027795111119,-0.05906331043886119,-0.003583809284250413,0.0007586868963276174,-0.005070835601052543,-0.002096782967448283,-0.004512016247617373,0.0007010127736628508,-0.005886001283996561,-0.003138031211238186
contrast,disagreement,agreement,iceberg_log_ratio,3652,168894.0,-0.026734761679064266,-0.09851103639900542,-0.03055259948150129,,0.004113666531100717,-0.0386153858824587,-0.02248981308054388,0.06795843691750404,0.006091032857885054,0.056020012516049336,0.07989686131895875,-0.0038178378024370657,0.005441244936987948,-0.014482677878933443,0.006847002274059311
