episode_id,turn_idx,duration_sec,assumption_count_in_turn,new_assumption_count,implicature_load,gap_to_next_sec,next_response_type,next_turn_type_label,next_conversation_move_label
42060,0,29.86,10,10,2.9859999999999998,0.5799999999999983,Silence/Abandonment,Disrupted,Topic Shift
42060,1,5.244,4,4,1.311,0.03999999999999915,Clarification,Substantive,Clarification Request (Specific)
42060,2,36.524,7,7,5.217714285714286,0.04000000000000625,Substantive,Substantive,Assert / Elaborate
42060,3,153.317,10,10,15.331700000000001,1.149000000000001,Substantive,Substantive,Assert / Elaborate
42060,4,18.073999999999984,5,5,3.6147999999999967,0.03999999999999204,Substantive,Substantive,Assert / Elaborate
42060,5,47.436000000000035,7,7,6.776571428571434,0.4399999999999977,Substantive,Substantive,Assert / Elaborate
42060,6,31.301999999999964,5,5,6.260399999999993,0.08000000000004093,Substantive,Substantive,Assert / Elaborate
42060,7,92.945,10,10,9.2945,0.0999999999999659,Substantive,Substantive,Assert / Elaborate
42060,8,33.42900000000003,6,6,5.571500000000005,1.6800000000000068,Substantive,Substantive,Assert / Elaborate
42060,9,74.40199999999993,10,10,7.440199999999993,0.08000000000004093,Substantive,Disrupted,Answer
42060,10,8.649000000000001,4,4,2.1622500000000002,0.03999999999996362,Substantive,Disrupted,Assert / Elaborate
42060,11,208.76,10,10,20.875999999999998,,Silence/Abandonment,,
42061,0,42.129,10,10,4.212899999999999,0.20000000000000284,Substantive,Substantive,Assert / Elaborate
42061,1,7.765999999999998,5,5,1.5531999999999997,0.30000000000000426,Substantive,Substantive,Assert / Elaborate
42061,2,28.38799999999999,7,7,4.05542857142857,0.04000000000000625,Silence/Abandonment,Substantive,Topic Shift
42061,3,20.114999999999995,7,7,2.8735714285714278,1.320999999999998,Substantive,Substantive,Answer
42061,4,1.6010000000000133,4,4,0.4002500000000033,1.4809999999999945,Substantive,Substantive,Assert / Elaborate
42061,5,67.53399999999999,10,10,6.753399999999999,0.08100000000001728,Substantive,Disrupted,Assert / Elaborate
42061,6,25.59099999999998,5,5,5.118199999999996,0.10000000000002274,Substantive,Substantive,Assert / Elaborate
