bin_label,bin_left,bin_right,bin_center,n,median_latency_sec,q25_latency_sec,q75_latency_sec
0-5,0.0,5.0,2.5,33881,0.7400000000000091,0.38400000000001455,1.2459999999999951
5-10,5.0,10.0,7.5,20207,0.7400000000000091,0.40500000000001535,1.2210000000000036
10-15,10.0,15.0,12.5,6550,0.7610000000000099,0.4399999999999995,1.2210000000000036
15-20,15.0,20.0,17.5,1945,0.8000000000000682,0.46100000000001273,1.240000000000009
20-25,20.0,25.0,22.5,749,0.8410000000000082,0.5190000000000055,1.3529999999999518
25-35,25.0,35.0,30.0,481,0.8070000000000164,0.4600000000000364,1.3410000000000082
35-50,35.0,50.0,42.5,150,0.9265000000000327,0.5955000000000723,1.355249999999927
50-75,50.0,75.0,62.5,61,1.0419999999999163,0.6200000000000045,1.620999999999981
75-120,75.0,120.0,97.5,22,1.4210000000000491,0.8497499999999718,2.2017500000000894
120+,120.0,,122.0,19,,,
