model_id,formula_friendly,outcome_transform,load_transform,explicit_transform,average_response_transform,n,r_squared,adjusted_r_squared,rmse,residual_skewness,load_term,load_estimate,load_std_error_hc3,load_z_score,load_p_value,load_ci95_low,load_ci95_high
log1p__z_raw__z_raw__z_log1p,log1p(response_delay_at_time_n) ~ z(implicature_load) + z(explicit_statement_count) + z(log1p(average_response_time_0_to_n_minus_1)),log1p,z_raw,z_raw,z_log1p,61795,0.055571552738736596,0.0555257000200271,0.348514117194416,1.1504928213412478,z(implicature_load),0.015241443530513335,0.0019955743042265385,7.637622662424861,2.212692036099332e-14,0.011330189765755743,0.01915269729527093
log1p__raw__raw__log1p,log1p(response_delay_at_time_n) ~ implicature_load + explicit_statement_count + log1p(average_response_time_0_to_n_minus_1),log1p,raw,raw,log1p,61795,0.055571552738736596,0.0555257000200271,0.348514117194416,1.1504928213412475,implicature_load,0.0026629102647583096,0.000348656955502552,7.637622662424752,2.2126920361012098e-14,0.0019795551890139235,0.0033462653405026957
log1p__raw__z_raw__z_log1p,log1p(response_delay_at_time_n) ~ implicature_load + z(explicit_statement_count) + z(log1p(average_response_time_0_to_n_minus_1)),log1p,raw,z_raw,z_log1p,61795,0.055571552738736485,0.05552570002002699,0.348514117194416,1.1504928213412566,implicature_load,0.002662910264762868,0.00034865695550243496,7.63762266244039,2.212692035832541e-14,0.0019795551890187113,0.0033462653405070247
log1p__raw__raw__z_log1p,log1p(response_delay_at_time_n) ~ implicature_load + explicit_statement_count + z(log1p(average_response_time_0_to_n_minus_1)),log1p,raw,raw,z_log1p,61795,0.055571552738736374,0.05552570002002688,0.348514117194416,1.1504928213412493,implicature_load,0.0026629102647583672,0.000348656955502551,7.637622662424939,2.2126920360979887e-14,0.001979555189013983,0.0033462653405027516
log1p__raw__z_raw__log1p,log1p(response_delay_at_time_n) ~ implicature_load + z(explicit_statement_count) + log1p(average_response_time_0_to_n_minus_1),log1p,raw,z_raw,log1p,61795,0.055571552738736374,0.05552570002002688,0.348514117194416,1.1504928213412475,implicature_load,0.002662910264758343,0.0003486569555025514,7.637622662424861,2.212692036099332e-14,0.001979555189013958,0.0033462653405027278
log1p__z_raw__raw__z_log1p,log1p(response_delay_at_time_n) ~ z(implicature_load) + explicit_statement_count + z(log1p(average_response_time_0_to_n_minus_1)),log1p,z_raw,raw,z_log1p,61795,0.055571552738736374,0.05552570002002688,0.348514117194416,1.1504928213412478,z(implicature_load),0.015241443530513132,0.0019955743042265432,7.637622662424741,2.212692036101377e-14,0.01133018976575553,0.019152697295270735
log1p__z_raw__z_raw__log1p,log1p(response_delay_at_time_n) ~ z(implicature_load) + z(explicit_statement_count) + log1p(average_response_time_0_to_n_minus_1),log1p,z_raw,z_raw,log1p,61795,0.055571552738736374,0.05552570002002688,0.348514117194416,1.1504928213412478,z(implicature_load),0.015241443530513078,0.0019955743042265445,7.637622662424709,2.212692036101944e-14,0.011330189765755474,0.019152697295270683
log1p__z_raw__raw__log1p,log1p(response_delay_at_time_n) ~ z(implicature_load) + explicit_statement_count + log1p(average_response_time_0_to_n_minus_1),log1p,z_raw,raw,log1p,61795,0.055571552738736374,0.05552570002002688,0.348514117194416,1.1504928213412478,z(implicature_load),0.015241443530512997,0.001995574304226549,7.637622662424652,2.2126920361029118e-14,0.011330189765755384,0.01915269729527061
log1p__z_log1p__z_raw__log1p,log1p(response_delay_at_time_n) ~ z(log1p(implicature_load)) + z(explicit_statement_count) + log1p(average_response_time_0_to_n_minus_1),log1p,z_log1p,z_raw,log1p,61795,0.054604909102263566,0.05455900945227099,0.3486924275763864,1.1514701721691576,z(log1p(implicature_load)),0.008583075261160516,0.0022888609578388145,3.749933010026444,0.00017688181708667598,0.004096990218176588,0.013069160304144444
log1p__log1p__z_raw__z_log1p,log1p(response_delay_at_time_n) ~ log1p(implicature_load) + z(explicit_statement_count) + z(log1p(average_response_time_0_to_n_minus_1)),log1p,log1p,z_raw,z_log1p,61795,0.054604909102263566,0.05455900945227099,0.3486924275763864,1.151470172169157,log1p(implicature_load),0.011901244598760664,0.0031737219216823667,3.749933010026254,0.0001768818170868097,0.005680863935317975,0.01812162526220335
