future_horizon,condition,base_condition,representation_budget,pair_count,candidate_complete_pair_count,condition_available_pair_count,fully_parsed_pair_count,assumption_eligible_pair_count,sparse_explicit_pair_count,dense_explicit_pair_count,complete_case_pair_count,retained_pair_rate,comparison_parse_eligible_pair_count,comparison_parse_failure_pair_count,comparison_parse_failure_rate
1,raw_history_b256,raw_history,256,8314,8314,8314,8314,8312,718,7555,6420,1.0,8314,0,0.0
1,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,8314,8314,8273,8273,8273,718,7555,6420,0.9950685590570123,8273,0,0.0
1,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,8314,8314,8273,8273,8273,718,7555,6420,0.9950685590570123,8273,0,0.0
1,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,8314,8314,6420,6420,6420,598,5822,6420,0.7721914842434447,6420,0,0.0
1,raw_history_explicit_b256,raw_history_explicit,256,8314,8314,8268,8268,8268,714,7554,6420,0.9944671638200625,8268,0,0.0
3,raw_history_b256,raw_history,256,4223,4223,4223,4223,4222,333,3868,3297,1.0,4223,0,0.0
3,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,4223,4223,4201,4201,4201,333,3868,3297,0.9947904333412266,4201,0,0.0
3,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,4223,4223,4201,4201,4201,333,3868,3297,0.9947904333412266,4201,0,0.0
3,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,4223,4223,3297,3297,3297,280,3017,3297,0.7807246033625385,3297,0,0.0
3,raw_history_explicit_b256,raw_history_explicit,256,4223,4223,4200,4200,4200,332,3868,3297,0.9945536348567369,4200,0,0.0
5,raw_history_b256,raw_history,256,2420,2420,2420,2420,2419,184,2222,1836,1.0,2420,0,0.0
5,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,2420,2420,2406,2406,2406,184,2222,1836,0.9942148760330578,2406,0,0.0
5,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,2420,2420,2406,2406,2406,184,2222,1836,0.9942148760330578,2406,0,0.0
5,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,2420,2420,1836,1836,1836,151,1685,1836,0.7586776859504132,1836,0,0.0
5,raw_history_explicit_b256,raw_history_explicit,256,2420,2420,2406,2406,2406,184,2222,1836,0.9942148760330578,2406,0,0.0
