future_horizon,representation_budget,target_condition,baseline_condition,candidate_comparison_count,helpful_flip_count,harmful_flip_count,helpful_flip_rate,harmful_flip_rate,net_strict_flip_rate,partial_improvement_count,partial_harm_count,mean_order_averaged_preference_delta,delta_ci95_low,delta_ci95_high,delta_ci_unstable,cluster_count
1,128,raw_history_true_assumptions_b128,raw_history_shuffled_assumptions_b128,5112,18,3,0.0035211267605633804,0.0005868544600938967,0.0029342723004694834,638,291,0.03540688575899843,0.027092051144492132,0.04449962311101423,False,24
3,128,raw_history_true_assumptions_b128,raw_history_shuffled_assumptions_b128,2088,32,9,0.01532567049808429,0.004310344827586207,0.011015325670498084,442,184,0.06728927203065134,,,True,12
5,128,raw_history_true_assumptions_b128,raw_history_shuffled_assumptions_b128,1080,8,2,0.007407407407407408,0.001851851851851852,0.005555555555555556,182,91,0.04490740740740741,,,True,8
1,128,raw_history_true_assumptions_b128,raw_history_stale_assumptions_b128,3984,10,3,0.0025100401606425703,0.0007530120481927711,0.0017570281124497991,407,244,0.02133534136546185,,,True,19
3,128,raw_history_true_assumptions_b128,raw_history_stale_assumptions_b128,1800,19,12,0.010555555555555556,0.006666666666666667,0.0038888888888888888,256,208,0.015277777777777777,,,True,12
5,128,raw_history_true_assumptions_b128,raw_history_stale_assumptions_b128,984,7,7,0.007113821138211382,0.007113821138211382,0.0,109,126,-0.008638211382113821,,,True,8
1,128,raw_history_true_assumptions_b128,raw_history_b128,5112,10,6,0.0019561815336463224,0.0011737089201877935,0.000782472613458529,492,274,0.02171361502347418,0.014463353853735978,0.029013321614328003,False,24
3,128,raw_history_true_assumptions_b128,raw_history_b128,2088,14,2,0.006704980842911878,0.0009578544061302681,0.005747126436781609,311,190,0.031848659003831416,,,True,12
5,128,raw_history_true_assumptions_b128,raw_history_b128,1080,7,4,0.006481481481481481,0.003703703703703704,0.002777777777777778,127,103,0.0125,,,True,8
1,128,raw_history_true_assumptions_b128,raw_history_explicit_b128,5112,16,8,0.003129890453834116,0.001564945226917058,0.001564945226917058,328,353,-0.001662754303599374,-0.00930763489791811,0.0077961189516129025,False,24
3,128,raw_history_true_assumptions_b128,raw_history_explicit_b128,2088,18,6,0.008620689655172414,0.0028735632183908046,0.005747126436781609,237,213,0.008620689655172414,,,True,12
5,128,raw_history_true_assumptions_b128,raw_history_explicit_b128,1080,4,5,0.003703703703703704,0.004629629629629629,-0.000925925925925926,107,103,0.001388888888888889,,,True,8
1,256,raw_history_true_assumptions_b256,raw_history_shuffled_assumptions_b256,5112,17,5,0.003325508607198748,0.0009780907668231612,0.002347417840375587,516,257,0.02650625978090767,0.01736060934489403,0.03858017960008862,False,24
3,256,raw_history_true_assumptions_b256,raw_history_shuffled_assumptions_b256,2088,20,10,0.009578544061302681,0.004789272030651341,0.004789272030651341,403,179,0.05603448275862069,,,True,12
5,256,raw_history_true_assumptions_b256,raw_history_shuffled_assumptions_b256,1080,7,6,0.006481481481481481,0.005555555555555556,0.000925925925925926,174,102,0.033796296296296297,,,True,8
1,256,raw_history_true_assumptions_b256,raw_history_stale_assumptions_b256,3984,10,7,0.0025100401606425703,0.0017570281124497991,0.0007530120481927711,329,204,0.01606425702811245,,,True,19
3,256,raw_history_true_assumptions_b256,raw_history_stale_assumptions_b256,1800,6,13,0.0033333333333333335,0.007222222222222222,-0.0038888888888888888,217,180,0.008333333333333333,,,True,12
5,256,raw_history_true_assumptions_b256,raw_history_stale_assumptions_b256,984,6,7,0.006097560975609756,0.007113821138211382,-0.0010162601626016261,104,118,-0.007621951219512195,,,True,8
1,256,raw_history_true_assumptions_b256,raw_history_b256,5112,6,7,0.0011737089201877935,0.0013693270735524257,-0.00019561815336463224,281,280,0.0,-0.006216633932658427,0.00512954074213701,False,24
3,256,raw_history_true_assumptions_b256,raw_history_b256,2088,13,5,0.006226053639846743,0.0023946360153256703,0.0038314176245210726,258,192,0.017720306513409962,,,True,12
5,256,raw_history_true_assumptions_b256,raw_history_b256,1080,4,5,0.003703703703703704,0.004629629629629629,-0.000925925925925926,123,107,0.006944444444444444,,,True,8
1,256,raw_history_true_assumptions_b256,raw_history_explicit_b256,5112,5,6,0.0009780907668231612,0.0011737089201877935,-0.00019561815336463224,264,331,-0.006651017214397496,-0.013646673781155205,0.000807267687231429,False,24
3,256,raw_history_true_assumptions_b256,raw_history_explicit_b256,2088,9,11,0.004310344827586207,0.005268199233716475,-0.0009578544061302681,233,193,0.009099616858237548,,,True,12
5,256,raw_history_true_assumptions_b256,raw_history_explicit_b256,1080,6,9,0.005555555555555556,0.008333333333333333,-0.002777777777777778,126,118,0.0023148148148148147,,,True,8
1,512,raw_history_true_assumptions_b512,raw_history_shuffled_assumptions_b512,5112,7,7,0.0013693270735524257,0.0013693270735524257,0.0,360,247,0.011052425665101721,0.005757418474782386,0.01640771211313441,False,24
3,512,raw_history_true_assumptions_b512,raw_history_shuffled_assumptions_b512,2088,19,9,0.009099616858237548,0.004310344827586207,0.004789272030651341,312,172,0.035919540229885055,,,True,12
5,512,raw_history_true_assumptions_b512,raw_history_shuffled_assumptions_b512,1080,10,5,0.009259259259259259,0.004629629629629629,0.004629629629629629,158,103,0.027777777777777776,,,True,8
1,512,raw_history_true_assumptions_b512,raw_history_stale_assumptions_b512,3984,7,6,0.0017570281124497991,0.0015060240963855422,0.000251004016064257,259,175,0.010667670682730925,,,True,19
3,512,raw_history_true_assumptions_b512,raw_history_stale_assumptions_b512,1800,14,11,0.0077777777777777776,0.006111111111111111,0.0016666666666666668,201,196,0.0022222222222222222,,,True,12
5,512,raw_history_true_assumptions_b512,raw_history_stale_assumptions_b512,984,7,3,0.007113821138211382,0.003048780487804878,0.0040650406504065045,106,98,0.006097560975609756,,,True,8
1,512,raw_history_true_assumptions_b512,raw_history_b512,5112,5,3,0.0009780907668231612,0.0005868544600938967,0.0003912363067292645,274,234,0.004107981220657277,-0.00029915193710224367,0.008361257625025206,False,24
3,512,raw_history_true_assumptions_b512,raw_history_b512,2088,15,10,0.007183908045977011,0.004789272030651341,0.0023946360153256703,224,204,0.0059865900383141765,,,True,12
5,512,raw_history_true_assumptions_b512,raw_history_b512,1080,5,6,0.004629629629629629,0.005555555555555556,-0.000925925925925926,115,104,0.004629629629629629,,,True,8
1,512,raw_history_true_assumptions_b512,raw_history_explicit_b512,5112,2,10,0.0003912363067292645,0.0019561815336463224,-0.001564945226917058,204,281,-0.00831377151799687,-0.014060101483881971,-0.003826231196704034,False,24
3,512,raw_history_true_assumptions_b512,raw_history_explicit_b512,2088,10,11,0.004789272030651341,0.005268199233716475,-0.0004789272030651341,218,220,-0.0007183908045977011,,,True,12
