pair_id,category,episode_id,source_path,source_turn_id,source_turn_idx,true_next_turn_id,true_next_turn_idx,true_next_turn_move_label,source_word_count,source_tail_word_count,explicit_count,assumption_count,all_assumption_count,history_turn_count,original_boundary_verified,source_original_turn_indices_json,true_next_original_turn_indices_json,candidate_count,candidate_pool_complete,candidate_pool_sha256,coverage_drop_reason,available_conditions_json
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0,0,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1,1,Assert / Elaborate,54,54,3,3,3,0,True,[0],[1],25,True,d7ede99ef1850ae2f02a8df4fad4e4caf9cf0ab9aaeb41dee5cc205d756cf8c4,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2,2,Assert / Elaborate,106,102,6,3,5,1,True,[1],[2],25,True,0d7e4140ef5f37339a2e0212125f3a9c88cff93f38f148b9a8fa91edd4e0a541,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2:3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2,2,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:3,3,Assert / Elaborate,50,50,4,3,4,2,True,[2],[3],25,True,7c2d68c044d5e23ee4a5885cf3fab9637a658e8fc2fb0defe37dedfb11ffad74,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:5:6,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:5,5,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:6,6,Clarification Request (Specific),122,107,6,3,6,3,True,[7],[8],25,True,55542b4943c6856561202d8f8a3d6735895057159a0996e1c8cac205c4e9205a,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:9:10,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:9,9,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:10,10,Assert / Elaborate,60,60,4,3,5,3,True,[17],[18],25,True,c2f58fa3471b8c49ee6d64cf9b43c69387efa6cf61cd2c9cb8acdee3345d3230,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:10:11,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:10,10,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11,11,Assert / Elaborate,196,103,9,3,8,3,True,[18],[19],25,True,ebdc48b725bd16bc0bb425988a17f31b7d4d2f7c1a08880481ce9e0b3d86d098,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11:12,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11,11,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12,12,Assert / Elaborate,111,102,9,3,8,3,True,[19],[20],25,True,eabaef4970054f2406daf6a5ed83488be43a63841af155daae6e6ddc1bb708d6,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12:13,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12,12,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13,13,Assert / Elaborate,92,92,6,3,6,3,True,[20],[21],25,True,ba0a5edbeb55b5b3bddf5e2b83083bde78d5806d1cce372151915d7d2d8e82c6,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13:14,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13,13,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:14,14,Assert / Elaborate,97,97,7,3,5,3,True,[21],[22],25,True,1e12f0050d449306ccd9d3470a44f3e7599b7751d6805140fb0eda93b5c1960a,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0004__Bhang___Jamie_Pearson:0:1,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:0,0,business:0004__Bhang___Jamie_Pearson:1,1,Topic Shift,77,77,6,3,5,0,True,[0],[1],25,True,8c50b55cf533ebd8e8f12422e2c9a730d4480484d9a3ed5504aa90e2aa57c799,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
