analysis_subset,condition,base_condition,representation_budget,future_horizon,category,pair_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci_unstable,cluster_count,mean_order_consistency_rate,mean_order_consistency_rate_ci95_low,mean_order_consistency_rate_ci95_high,mean_order_consistency_rate_ci_unstable
full,raw_history_b256,raw_history,256,1,business,18,0.5902777777777777,,,True,5,0.18055555555555555,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,business,18,0.5925925925925926,,,True,5,0.18518518518518523,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,business,18,0.5636574074074073,,,True,5,0.12731481481481483,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,business,18,0.5775462962962963,,,True,5,0.15509259259259262,,,True
full,raw_history_b256,raw_history,256,3,business,4,0.5572916666666667,,,True,1,0.11458333333333334,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,business,4,0.5416666666666667,,,True,1,0.08333333333333333,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,business,4,0.515625,,,True,1,0.03125,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,3,business,4,0.5416666666666666,,,True,1,0.08333333333333333,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,business,11,0.6079545454545454,,,True,4,0.2159090909090909,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,business,3,0.5416666666666666,,,True,1,0.08333333333333333,,,True
full,raw_history_b256,raw_history,256,5,business,1,0.5625,,,True,1,0.125,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,business,1,0.5,,,True,1,0.0,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,business,1,0.5,,,True,1,0.0,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,business,1,0.5208333333333334,,,True,1,0.041666666666666664,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,5,business,1,0.5,,,True,1,0.0,,,True
full,raw_history_b256,raw_history,256,1,commentary,79,0.5253164556962026,,,True,5,0.07383966244725738,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,commentary,79,0.5232067510548523,,,True,5,0.0590717299578059,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,commentary,79,0.5113396624472574,,,True,5,0.034282700421940926,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,commentary,79,0.5229430379746834,,,True,5,0.055379746835443035,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,commentary,71,0.5190727699530516,,,True,4,0.03814553990610329,,,True
full,raw_history_b256,raw_history,256,3,commentary,24,0.5017361111111112,,,True,4,0.003472222222222222,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,commentary,24,0.5034722222222222,,,True,4,0.006944444444444444,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,commentary,24,0.5008680555555556,,,True,4,0.001736111111111111,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,commentary,24,0.5017361111111112,,,True,4,0.003472222222222222,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,3,commentary,24,0.5043402777777778,,,True,4,0.008680555555555554,,,True
full,raw_history_b256,raw_history,256,5,commentary,9,0.49768518518518523,,,True,2,0.004629629629629629,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,5,commentary,9,0.5,,,True,2,0.0,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,5,commentary,9,0.5,,,True,2,0.0,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,5,commentary,9,0.5,,,True,2,0.0,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,5,commentary,9,0.49768518518518523,,,True,2,0.004629629629629629,,,True
full,raw_history_b256,raw_history,256,1,news,37,0.5906531531531531,,,True,4,0.1948198198198198,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,1,news,37,0.5917792792792792,,,True,4,0.18806306306306309,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,1,news,37,0.5619369369369368,,,True,4,0.13513513513513517,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,1,news,37,0.5855855855855855,,,True,4,0.17567567567567569,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,1,news,27,0.5825617283950617,,,True,3,0.1712962962962963,,,True
full,raw_history_b256,raw_history,256,3,news,16,0.5260416666666667,,,True,2,0.05208333333333333,,,True
full,raw_history_true_assumptions_b256,raw_history_true_assumptions,256,3,news,16,0.5260416666666667,,,True,2,0.05208333333333333,,,True
full,raw_history_different_episode_assumptions_b256,raw_history_different_episode_assumptions,256,3,news,16,0.515625,,,True,2,0.031249999999999997,,,True
full,raw_history_explicit_b256,raw_history_explicit,256,3,news,16,0.5221354166666666,,,True,2,0.04427083333333333,,,True
full,raw_history_same_episode_random_turn_assumptions_b256,raw_history_same_episode_random_turn_assumptions,256,3,news,13,0.5144230769230769,,,True,2,0.028846153846153848,,,True
