future_horizon,representation_budget,target_condition,baseline_condition,candidate_comparison_count,helpful_flip_count,harmful_flip_count,helpful_flip_rate,harmful_flip_rate,net_strict_flip_rate,partial_improvement_count,partial_harm_count,mean_order_averaged_preference_delta,delta_ci95_low,delta_ci95_high,delta_ci_unstable,cluster_count
1,256,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,5112,1,0,0.00019561815336463224,0.0,0.00019561815336463224,380,192,0.018485915492957746,0.011978574810606062,0.024919198448610215,False,24
3,256,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,2088,0,0,0.0,0.0,0.0,62,22,0.009578544061302681,,,True,12
5,256,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,1080,0,0,0.0,0.0,0.0,34,19,0.006944444444444444,,,True,8
1,256,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,3984,1,0,0.000251004016064257,0.0,0.000251004016064257,240,200,0.005145582329317269,,,True,19
3,256,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,1800,0,0,0.0,0.0,0.0,48,31,0.004722222222222222,,,True,12
5,256,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,984,0,0,0.0,0.0,0.0,25,18,0.003556910569105691,,,True,8
1,256,raw_history_true_assumptions_b256,raw_history_b256,5112,0,1,0.0,0.00019561815336463224,-0.00019561815336463224,324,349,-0.002543035993740219,-0.007201893399810067,0.00434666053921568,False,24
3,256,raw_history_true_assumptions_b256,raw_history_b256,2088,0,0,0.0,0.0,0.0,53,68,-0.0035919540229885057,,,True,12
5,256,raw_history_true_assumptions_b256,raw_history_b256,1080,1,0,0.000925925925925926,0.0,0.000925925925925926,33,33,0.000462962962962963,,,True,8
1,256,raw_history_true_assumptions_b256,raw_history_explicit_b256,5112,1,0,0.00019561815336463224,0.0,0.00019561815336463224,311,285,0.002640845070422535,-0.001394606466993115,0.007263929547228726,False,24
3,256,raw_history_true_assumptions_b256,raw_history_explicit_b256,2088,0,0,0.0,0.0,0.0,57,55,0.0004789272030651341,,,True,12
5,256,raw_history_true_assumptions_b256,raw_history_explicit_b256,1080,0,0,0.0,0.0,0.0,37,27,0.004629629629629629,,,True,8
