pair_id,category,episode_id,source_path,source_turn_id,source_turn_idx,future_horizon,true_future_turn_id,true_future_turn_idx,true_future_turn_move_label,source_word_count,source_tail_word_count,explicit_count,assumption_count,all_assumption_count,history_turn_count,context_explicit_count,context_assumption_count,original_boundary_verified,source_original_turn_indices_json,true_next_original_turn_indices_json,candidate_count,candidate_pool_complete,candidate_pool_sha256,coverage_drop_reason,available_conditions_json
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:1:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0,0,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1,1,Assert / Elaborate,54,54,3,3,3,0,3,3,True,[0],[1],25,True,2edf1824044edef687eac6a8a1afb97087883ca0162e56792768128928a64675,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0:3:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:0,0,3,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:3,3,Assert / Elaborate,54,54,3,3,3,0,3,3,True,[0],[3],25,True,44b45695417e7b127b244b7577598b537b78942eb95da314d2163ed4a27e886f,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1:2:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:1,1,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2,2,Assert / Elaborate,106,102,6,3,5,1,9,6,True,[1],[2],25,True,96a933d0511c75ee22415175438b18b7039f249bbee89449496131a8d5fd47be,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2:3:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:2,2,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:3,3,Assert / Elaborate,50,50,4,3,4,2,13,9,True,[2],[3],25,True,47b07a47bc7249f13b6128deb70283c00ee0f3ecf84a26e0cec8ede2a1b0e90d,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:5:6:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:5,5,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:6,6,Clarification Request (Specific),122,107,6,3,6,3,25,12,True,[7],[8],25,True,af99c4d2c0d3b69f67876371d0149cbef2cc7f8feafae0c8872a755cd17c2ef2,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:9:10:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:9,9,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:10,10,Assert / Elaborate,60,60,4,3,5,3,22,12,True,[17],[18],25,True,fcbb960a73be414c39265c1cabbdb3f12790d53714f58df111b6ba4e3d138a28,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:9:12:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:9,9,3,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12,12,Assert / Elaborate,60,60,4,3,5,3,22,12,True,[17],[20],25,True,b9d495d5d0a337b51491f1871df9d1fc70a41d4cfb60ef84e3cc428bea6d3af2,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:9:14:h5,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:9,9,5,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:14,14,Assert / Elaborate,60,60,4,3,5,3,22,12,True,[17],[22],25,True,64c0ea2e02f0acd26bd75f5022574ad1119a0ce47959cc3bc7597dd84675a727,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:10:11:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:10,10,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11,11,Assert / Elaborate,196,103,9,3,8,3,27,12,True,[18],[19],25,True,c954bad827c54f92c1daffe2b7daac5b1536794e876f845b2d5e8906c2f2015d,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:10:13:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:10,10,3,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13,13,Assert / Elaborate,196,103,9,3,8,3,27,12,True,[18],[21],25,True,7e67ba1d7da5f133b9979236e36927a5e7d81520314963abca507ce7d573998f,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
