analysis_subset,future_horizon,target_condition,baseline_condition,target_base_condition,baseline_base_condition,representation_budget,metric,paired_sample_size,mean_improvement,ci95_low,ci95_high,ci_unstable,cluster_count,wins,ties,losses
full,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,213,0.01848591549295775,0.011991634794943614,0.024589004583693255,False,24,105,68,40
assumption_eligible,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,213,0.01848591549295775,0.011679986338797816,0.024327432603923713,False,24,105,68,40
sparse_explicit,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,24,0.01388888888888889,,,True,9,9,9,6
dense_explicit,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,189,0.019069664902998235,0.012867017526188558,0.02492067052099947,False,24,96,59,34
complete_case,1,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,166,0.018072289156626505,,,True,19,84,51,31
full,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,87,0.009578544061302685,,,True,12,35,48,4
assumption_eligible,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,87,0.009578544061302685,,,True,12,35,48,4
sparse_explicit,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,7,0.005952380952380947,,,True,5,3,3,1
dense_explicit,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,80,0.009895833333333336,,,True,12,32,45,3
complete_case,3,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,75,0.009166666666666672,,,True,12,30,41,4
full,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,45,0.006944444444444442,,,True,8,15,22,8
assumption_eligible,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,45,0.006944444444444442,,,True,8,15,22,8
sparse_explicit,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,4,0.026041666666666685,,,True,4,2,2,0
dense_explicit,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,41,0.005081300813008126,,,True,7,13,20,8
complete_case,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,41,0.004573170731707314,,,True,8,12,21,8
full,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,166,0.005145582329317271,,,True,19,67,54,45
assumption_eligible,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,166,0.005145582329317271,,,True,19,67,54,45
sparse_explicit,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,19,0.0010964912280701773,,,True,7,9,3,7
dense_explicit,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,147,0.005668934240362813,,,True,19,58,51,38
complete_case,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,166,0.005145582329317271,,,True,19,67,54,45
