model_number,model_name,short_label,comparison_family,reference_model,changed_group,included_variable_groups,formula,agree_move_coefficient,agree_move_estimated_change_percent,agree_move_clustered_se,agree_move_ci95_low,agree_move_ci95_high,disagree_move_coefficient,disagree_move_estimated_change_percent,disagree_move_clustered_se,disagree_move_ci95_low,disagree_move_ci95_high,r_squared,adjusted_r_squared,reference_adjusted_r_squared,delta_adjusted_r_squared,transition_count,episode_count,includes_current_stance,includes_lagged_stance,includes_previous_outcome,includes_timeline,includes_category_fixed_effects,includes_current_duration,includes_response_timing,includes_previous_duration
1,spec_01_stance_core,Core,reference,,current_stance,current_stance,delta_log_assumption_count ~ agree_move + disagree_move,0.3096457395412871,36.294219207097065,0.005052720815078966,0.2997425887197965,0.3195488903627777,-0.39910740954133944,-32.90813655796221,0.005003887635285713,-0.40891484908918474,-0.38929996999349414,0.07208437289560188,0.07207668131916534,,,241284,14588,True,False,False,False,False,False,False,False
2,spec_02_add_lagged_stance,+ Lagged stance,add_one_to_core,spec_01_stance_core,lagged_stance,current_stance|lagged_stance,delta_log_assumption_count ~ agree_move + disagree_move + lag_agree_move + lag_disagree_move,0.19083921809364202,21.026484774787193,0.0052999160174521595,0.18045157357834882,0.20122686260893521,-0.3054401704746329,-26.320101415557335,0.005118493039707441,-0.31547223248757844,-0.29540810846168736,0.08936940564528273,0.0893543089216664,0.07207668131916534,0.017277627602501067,241284,14588,True,True,False,False,False,False,False,False
3,spec_03_add_previous_outcome,+ Previous outcome,add_one_to_core,spec_01_stance_core,previous_outcome,current_stance|previous_outcome,delta_log_assumption_count ~ agree_move + disagree_move + previous_log_assumption_count,0.22170438548379282,24.82023365901323,0.0033824375272117177,0.21507492975050113,0.2283338412170845,-0.1903086572512368,-17.329607360195,0.003512576112408969,-0.1971931799245141,-0.1834241345779595,0.5388598885371498,0.5388541548653396,0.07207668131916534,0.46677747354617427,241284,14588,True,False,True,False,False,False,False,False
4,spec_04_add_timeline,+ Timeline,add_one_to_core,spec_01_stance_core,timeline,current_stance|timeline,delta_log_assumption_count ~ agree_move + disagree_move + timeline_position + I(timeline_position ** 2),0.3098976952350399,36.328563638107674,0.005054890528523063,0.2999902918533421,0.3198050986167377,-0.3976706759844645,-32.81167414756393,0.005017961217243788,-0.4075056992460811,-0.38783565272284787,0.07224014005592938,0.07222475935790018,0.07207668131916534,0.0001480780387348446,241284,14588,True,False,False,True,False,False,False,False
5,spec_05_add_category,+ Category FE,add_one_to_core,spec_01_stance_core,category_fixed_effects,current_stance|category_fixed_effects,delta_log_assumption_count ~ agree_move + disagree_move + C(category),0.31071886310599317,36.44055825135624,0.005084770717190132,0.3007528956306566,0.32068483058132974,-0.3979615720708573,-32.83121612612535,0.005017054156010452,-0.4077948175251248,-0.3881283266165898,0.07222326907910415,0.0721963520334119,0.07207668131916534,0.00011967071424656694,241284,14588,True,False,False,False,True,False,False,False
6,spec_06_add_current_duration,+ Current duration,add_one_to_core,spec_01_stance_core,current_duration,current_stance|current_duration,delta_log_assumption_count ~ agree_move + disagree_move + log_duration,0.13815201908867628,14.81500777365708,0.0044904453662060854,0.12935090789636758,0.14695313028098497,-0.272816044540129,-23.876719231898125,0.0045208765737809,-0.28167679980329036,-0.2639552892769676,0.2649559171049489,0.264946777796889,0.07207668131916534,0.19287009647772368,241284,14588,True,False,False,False,False,True,False,False
7,spec_07_add_response_timing,+ Gap/overlap,add_one_to_core,spec_01_stance_core,response_timing,current_stance|response_timing,delta_log_assumption_count ~ agree_move + disagree_move + log_gap + overlap,0.3096294732114766,36.29200221840737,0.00505340481628886,0.2997249817722492,0.319533964650704,-0.39923149141461234,-32.91646092559722,0.005015442702189183,-0.4090615784774274,-0.38940140435179726,0.07208794335948765,0.07207256013829322,0.07207668131916534,-4.121180872118657e-06,241284,14588,True,False,False,False,False,False,True,False
8,spec_08_add_previous_duration,+ Previous duration,add_one_to_core,spec_01_stance_core,previous_duration,current_stance|previous_duration,delta_log_assumption_count ~ agree_move + disagree_move + previous_log_duration,0.2607462859868071,29.789832866309823,0.004344842721986479,0.25223055073322265,0.26926202124039156,-0.23823909162424908,-21.198573904094957,0.004254772590794939,-0.24657829266461534,-0.22989989058388283,0.2777609694798536,0.27775198938580703,0.07207668131916534,0.2056753080666417,241284,14588,True,False,False,False,False,False,False,True
9,spec_09_exp2_baseline,Exp2 controls,reference,spec_01_stance_core,exp2_control_block,current_stance|lagged_stance|previous_outcome|timeline|category_fixed_effects,delta_log_assumption_count ~ agree_move + disagree_move + lag_agree_move + lag_disagree_move + previous_log_assumption_count + timeline_position + I(timeline_position ** 2) + C(category),0.188237757427232,20.712048309431673,0.0034680414988650667,0.18144052099256616,0.19503499386189785,-0.20088481206737704,-18.199334937773763,0.0038240699321022394,-0.20837985140865997,-0.19338977272609412,0.5434744640406963,0.543451758011246,0.07207668131916534,0.4713750766920807,241284,14588,True,True,True,True,True,False,False,False
10,spec_10_full_timing,Full timing,reference,spec_09_exp2_baseline,timing_control_block,current_stance|lagged_stance|previous_outcome|timeline|category_fixed_effects|current_duration|response_timing|previous_duration,delta_log_assumption_count ~ agree_move + disagree_move + lag_agree_move + lag_disagree_move + previous_log_assumption_count + timeline_position + I(timeline_position ** 2) + C(category) + log_duration + log_gap + overlap + previous_log_duration,0.031242507058708045,3.173567673528503,0.0023763831782425376,0.026584881615885844,0.03590013250153025,-0.03740841856349388,-3.671736751141277,0.0026436370533877585,-0.04258985197632948,-0.032226985150658284,0.7702461048724767,0.7702308683821069,0.543451758011246,0.22677911037086085,241284,14588,True,True,True,True,True,True,True,True
11,spec_11_drop_lagged_stance,− Lagged stance,remove_one_from_full,spec_10_full_timing,lagged_stance,current_stance|previous_outcome|timeline|category_fixed_effects|current_duration|response_timing|previous_duration,delta_log_assumption_count ~ agree_move + disagree_move + previous_log_assumption_count + timeline_position + I(timeline_position ** 2) + C(category) + log_duration + log_gap + overlap + previous_log_duration,0.03276623021099603,3.3308954588518924,0.0022271931071275283,0.028401011934410213,0.03713144848758184,-0.03344491823410513,-3.2891820209319467,0.0024675574526816803,-0.03828124197114462,-0.028608594497065636,0.7702099148297608,0.7701965809112201,0.7702308683821069,-3.428747088674022e-05,241284,14588,True,False,True,True,True,True,True,True
12,spec_12_drop_previous_outcome,− Previous outcome,remove_one_from_full,spec_10_full_timing,previous_outcome,current_stance|lagged_stance|timeline|category_fixed_effects|current_duration|response_timing|previous_duration,delta_log_assumption_count ~ agree_move + disagree_move + lag_agree_move + lag_disagree_move + timeline_position + I(timeline_position ** 2) + C(category) + log_duration + log_gap + overlap + previous_log_duration,0.04130332732378203,4.216817569036352,0.0036616695943743746,0.03412658679552287,0.04848006785204119,-0.05816573600225238,-5.650643637344359,0.0036578477632352095,-0.06533498587912379,-0.05099648612538098,0.5312216197880715,0.531192475120303,0.7702308683821069,-0.23903839326180387,241284,14588,True,True,False,True,True,True,True,True
