model_number,model_name,short_label,term,coefficient,clustered_se,z_or_t,p_value,ci95_low,ci95_high
1,spec_01_stance_core,Core,Intercept,1.5680334093382409,0.0065687594365649886,238.7107374658578,0.0,1.5551588774194658,1.580907941257016
1,spec_01_stance_core,Core,current_stance,0.034511378929130955,0.0026954569183087152,12.80353571771623,1.566529229627073e-37,0.029228380447366552,0.03979437741089536
2,spec_02_add_lagged_stance,+ Lagged stance,Intercept,1.4912797857014934,0.008344632408494526,178.71126164687925,0.0,1.4749246067166184,1.5076349646863685
2,spec_02_add_lagged_stance,+ Lagged stance,current_stance,0.026127196206180665,0.0025112834294845517,10.403921715655708,2.37934507192399e-25,0.02120517112941871,0.03104922128294262
2,spec_02_add_lagged_stance,+ Lagged stance,previous_stance,0.052907393941489245,0.0024263562038048807,21.80528722803467,2.0670514160038665e-105,0.04815182316836635,0.05766296471461214
3,spec_03_add_previous_ratio,+ Previous ratio,Intercept,1.360204462334084,0.014783421154751503,92.00877443019365,0.0,1.3312294893024836,1.3891794353656846
3,spec_03_add_previous_ratio,+ Previous ratio,current_stance,0.03342486783464595,0.00269991029384417,12.379991998569386,3.353762372410703e-35,0.02813314089722242,0.03871659477206947
3,spec_03_add_previous_ratio,+ Previous ratio,previous_log_iceberg_ratio,0.3661259491964592,0.0225256113462637,16.253763041915757,2.1006527051693864e-59,0.32197656222803556,0.4102753361648828
4,spec_04_add_timeline,+ Timeline,Intercept,1.2339124800124799,0.013248299021364268,93.1374267762727,0.0,1.2079462910741887,1.259878668950771
4,spec_04_add_timeline,+ Timeline,current_stance,0.027754361484738962,0.002694964975205755,10.298598215592756,7.1495513114054945e-25,0.022472327193738803,0.03303639577573912
4,spec_04_add_timeline,+ Timeline,timeline_position,1.340077780477587,0.056494506754048546,23.72049704428216,2.2159056660022714e-124,1.229350581915297,1.450804979039877
4,spec_04_add_timeline,+ Timeline,I(timeline_position ** 2),-1.010719779237843,0.052198706682900026,-19.362927617686523,1.5861004434065455e-83,-1.1130273643758974,-0.9084121940997888
5,spec_05_add_category,+ Category FE,Intercept,1.4693908991398794,0.007387553607848877,198.90087803609723,0.0,1.4549115601346367,1.483870238145122
5,spec_05_add_category,+ Category FE,C(category)[T.commentary],0.04506260522079905,0.015593246565776295,2.8898796046553534,0.003853893936388106,0.014500403549824629,0.07562480689177348
5,spec_05_add_category,+ Category FE,C(category)[T.news],0.025982174321688964,0.05146819273738668,0.5048200245588849,0.6136852499466627,-0.07489362979295491,0.12685797843633284
5,spec_05_add_category,+ Category FE,C(category)[T.political],0.4177444860747938,0.013238808298432556,31.554538494545145,1.5536233813303125e-218,0.391796898611636,0.4436920735379516
5,spec_05_add_category,+ Category FE,C(category)[T.religion],-0.08027938878644723,0.011731764211651539,-6.842908478054547,7.760123380557148e-12,-0.10327322411640019,-0.057285553456494276
5,spec_05_add_category,+ Category FE,C(category)[T.sports],0.09872470344868706,0.022239238384267813,4.439212429078757,9.028866617844454e-06,0.055136597171921396,0.1423128097254527
5,spec_05_add_category,+ Category FE,current_stance,0.04333851535615509,0.002723187266344477,15.914629115584615,5.016338128310469e-57,0.038001166390961835,0.04867586432134835
6,spec_06_add_current_duration,+ Current duration,Intercept,1.5199756507681121,0.010757373107311985,141.2961729230119,0.0,1.498891586909521,1.5410597146267033
6,spec_06_add_current_duration,+ Current duration,current_stance,0.03161726068767788,0.0028017741854241903,11.284728388234118,1.56123071329896e-29,0.02612588419143242,0.03710863718392334
6,spec_06_add_current_duration,+ Current duration,log_duration,0.016393391692205855,0.0032534056398444266,5.038840374356075,4.683608930610139e-07,0.010016833811011289,0.022769949573400422
7,spec_07_add_response_timing,+ Gap/overlap,Intercept,1.6303605433989854,0.007619758491290392,213.96485797581846,0.0,1.615426091185163,1.6452949956128078
