model_number,model_name,short_label,term,coefficient,clustered_se,z_or_t,p_value,ci95_low,ci95_high
1,spec_01_stance_core,Core,Intercept,0.031670651359731426,0.00159332787553191,19.877045927636598,6.431055168275874e-88,0.028547786108125164,0.034793516611337685
1,spec_01_stance_core,Core,agree_move,0.42828189260831856,0.006299892726093489,67.98241037254815,0.0,0.4159343297587095,0.44062945545792764
1,spec_01_stance_core,Core,disagree_move,-0.5540856748067674,0.006221881948140293,-89.0543535581517,0.0,-0.5662803393411823,-0.5418910102723525
2,spec_02_add_lagged_stance,+ Lagged stance,Intercept,0.009360850246563968,0.00158058852788726,5.922382758956515,3.1731001667879417e-09,0.006262953657527755,0.012458746835600179
2,spec_02_add_lagged_stance,+ Lagged stance,agree_move,0.2674988798283717,0.006427568110092084,41.61743216822006,0.0,0.25490107782441307,0.2800966818323304
2,spec_02_add_lagged_stance,+ Lagged stance,disagree_move,-0.43173766849989637,0.006248250283391079,-69.09737109083628,0.0,-0.44398401402173504,-0.4194913229780577
2,spec_02_add_lagged_stance,+ Lagged stance,lag_agree_move,-0.16383987418248938,0.00591427816605044,-27.70242954127093,6.527141892033087e-169,-0.17543164638249983,-0.15224810198247893
2,spec_02_add_lagged_stance,+ Lagged stance,lag_disagree_move,0.37224222562770837,0.006809881813102836,54.662068424077525,0.0,0.35889510253505247,0.38558934872036427
3,spec_03_add_previous_outcome,+ Previous outcome,Intercept,1.8084243428640432,0.009143734877771707,197.77742542167292,0.0,1.790502951819428,1.8263457339086584
3,spec_03_add_previous_outcome,+ Previous outcome,agree_move,0.29150390421400363,0.004186073072046337,69.63660194099376,0.0,0.28329935175613985,0.2997084566718674
3,spec_03_add_previous_outcome,+ Previous outcome,disagree_move,-0.27204013821087064,0.004434303272090211,-61.34901505792549,0.0,-0.2807312129206956,-0.2633490635010457
3,spec_03_add_previous_outcome,+ Previous outcome,previous_log_explicit_count,-0.9667082965400151,0.004343955524130455,-222.54102077472916,0.0,-0.9752222929177546,-0.9581943001622756
4,spec_04_add_timeline,+ Timeline,Intercept,0.04211495236058217,0.0030243242704404826,13.925408982168527,4.4399269733098527e-44,0.03618738571294845,0.04804251900821589
4,spec_04_add_timeline,+ Timeline,agree_move,0.4288137837585293,0.006301968294893745,68.04442099557713,0.0,0.41646215286882426,0.44116541464823433
4,spec_04_add_timeline,+ Timeline,disagree_move,-0.5529662957083,0.006248431901364419,-88.49681078984845,0.0,-0.5652129971948254,-0.5407195942217746
4,spec_04_add_timeline,+ Timeline,timeline_position,-0.028334026004208573,0.012002568051026154,-2.360663641626774,0.018242267980454537,-0.05185862710621095,-0.004809424902206202
4,spec_04_add_timeline,+ Timeline,I(timeline_position ** 2),0.01237234070086587,0.011020353408877557,1.1226809378816478,0.2615730266309404,-0.009227155077437354,0.03397183647916909
5,spec_05_add_category,+ Category FE,Intercept,0.026787472968092554,0.0016501307997537017,16.233545226894044,2.920908511602849e-59,0.023553276030795024,0.030021669905390083
5,spec_05_add_category,+ Category FE,C(category)[T.commentary],0.014643310780620282,0.002746768785402166,5.33110426274059,9.761735039292927e-08,0.009259742887373208,0.020026878673867356
5,spec_05_add_category,+ Category FE,C(category)[T.news],0.0009711507218929442,0.00936232822582321,0.10372961708545023,0.9173839223962454,-0.01737867541216333,0.01932097685594922
