model_number,model_name,short_label,comparison_family,reference_model,changed_group,included_variable_groups,formula,current_stance_coefficient,current_stance_estimated_change_points,current_stance_clustered_se,current_stance_ci95_low,current_stance_ci95_high,r_squared,adjusted_r_squared,reference_adjusted_r_squared,delta_adjusted_r_squared,transition_count,episode_count,includes_current_stance,includes_lagged_stance,includes_previous_iceberg_ratio,includes_timeline,includes_category_fixed_effects,includes_current_duration,includes_response_timing,includes_previous_duration
1,spec_01_stance_core,Core,reference,,current_stance,current_stance,absolute_stance_change ~ current_stance,0.034511378929130955,0.034511378929130955,0.0026954569183087152,0.029228380447366552,0.03979437741089536,0.0014716902722473613,0.0014675518437291535,,,241284,14588,True,False,False,False,False,False,False,False
2,spec_02_add_lagged_stance,+ Lagged stance,add_one_to_core,spec_01_stance_core,lagged_stance,current_stance|lagged_stance,absolute_stance_change ~ current_stance + previous_stance,0.026127196206180665,0.026127196206180665,0.0025112834294845517,0.02120517112941871,0.03104922128294262,0.004815600076380155,0.004807350903010432,0.0014675518437291535,0.0033397990592812787,241284,14588,True,True,False,False,False,False,False,False
3,spec_03_add_previous_ratio,+ Previous ratio,add_one_to_core,spec_01_stance_core,previous_iceberg_ratio,current_stance|previous_iceberg_ratio,absolute_stance_change ~ current_stance + previous_log_iceberg_ratio,0.03342486783464595,0.03342486783464595,0.00269991029384417,0.02813314089722242,0.03871659477206947,0.002685564619692715,0.0026772977902667083,0.0014675518437291535,0.0012097459465375549,241284,14588,True,False,True,False,False,False,False,False
4,spec_04_add_timeline,+ Timeline,add_one_to_core,spec_01_stance_core,timeline,current_stance|timeline,absolute_stance_change ~ current_stance + timeline_position + I(timeline_position ** 2),0.027754361484738962,0.027754361484738962,0.002694964975205755,0.022472327193738803,0.03303639577573912,0.00590241780425993,0.005890057506072854,0.0014675518437291535,0.004422505662343701,241284,14588,True,False,False,True,False,False,False,False
5,spec_05_add_category,+ Category FE,add_one_to_core,spec_01_stance_core,category_fixed_effects,current_stance|category_fixed_effects,absolute_stance_change ~ current_stance + C(category),0.04333851535615509,0.04333851535615509,0.002723187266344477,0.038001166390961835,0.04867586432134835,0.013915273609992673,0.0138907519674063,0.0014675518437291535,0.012423200123677147,241284,14588,True,False,False,False,True,False,False,False
6,spec_06_add_current_duration,+ Current duration,add_one_to_core,spec_01_stance_core,current_duration,current_stance|current_duration,absolute_stance_change ~ current_stance + log_duration,0.03161726068767788,0.03161726068767788,0.0028017741854241903,0.02612588419143242,0.03710863718392334,0.0016040653200469768,0.0015957895259756105,0.0014675518437291535,0.00012823768224645704,241284,14588,True,False,False,False,False,True,False,False
7,spec_07_add_response_timing,+ Gap/overlap,add_one_to_core,spec_01_stance_core,response_timing,current_stance|response_timing,absolute_stance_change ~ current_stance + log_gap + overlap,0.04019945687841007,0.04019945687841007,0.002731665823844419,0.03484549024587607,0.04555342351094407,0.0035292759205713953,0.003516886115480844,0.0014675518437291535,0.0020493342717516905,241284,14588,True,False,False,False,False,False,True,False
8,spec_08_add_previous_duration,+ Previous duration,add_one_to_core,spec_01_stance_core,previous_duration,current_stance|previous_duration,absolute_stance_change ~ current_stance + previous_log_duration,0.031935255328906606,0.031935255328906606,0.002716966205594685,0.026610099418728578,0.037260411239084634,0.0057207141980878395,0.005712472527290791,0.0014675518437291535,0.004244920683561637,241284,14588,True,False,False,False,False,False,False,True
9,spec_09_exp2_baseline,Exp2 controls,reference,spec_01_stance_core,exp2_control_block,current_stance|lagged_stance|previous_iceberg_ratio|timeline|category_fixed_effects,absolute_stance_change ~ current_stance + previous_stance + previous_log_iceberg_ratio + timeline_position + I(timeline_position ** 2) + C(category),0.029444278579105355,0.029444278579105355,0.0025717797804181747,0.024403682833317404,0.034484874324893305,0.021683312705149338,0.021642764583838958,0.0014675518437291535,0.020175212740109805,241284,14588,True,True,True,True,True,False,False,False
10,spec_10_full_timing,Full timing,reference,spec_09_exp2_baseline,timing_control_block,current_stance|lagged_stance|previous_iceberg_ratio|timeline|category_fixed_effects|current_duration|response_timing|previous_duration,absolute_stance_change ~ current_stance + previous_stance + previous_log_iceberg_ratio + timeline_position + I(timeline_position ** 2) + C(category) + log_duration + log_gap + overlap + previous_log_duration,0.031189086229520085,0.031189086229520085,0.0026764996161304654,0.025943243377269092,0.036434929081771074,0.023618316423670516,0.0235616603942177,0.021642764583838958,0.0019188958103787401,241284,14588,True,True,True,True,True,True,True,True
11,spec_11_drop_lagged_stance,− Lagged stance,remove_one_from_full,spec_10_full_timing,lagged_stance,current_stance|previous_iceberg_ratio|timeline|category_fixed_effects|current_duration|response_timing|previous_duration,absolute_stance_change ~ current_stance + previous_log_iceberg_ratio + timeline_position + I(timeline_position ** 2) + C(category) + log_duration + log_gap + overlap + previous_log_duration,0.038324427700019766,0.038324427700019766,0.002873738764810486,0.032692003220014594,0.04395685218002494,0.02135276712361811,0.021300036100169728,0.0235616603942177,-0.0022616242940479703,241284,14588,True,False,True,True,True,True,True,True
12,spec_12_drop_previous_ratio,− Previous ratio,remove_one_from_full,spec_10_full_timing,previous_iceberg_ratio,current_stance|lagged_stance|timeline|category_fixed_effects|current_duration|response_timing|previous_duration,absolute_stance_change ~ current_stance + previous_stance + timeline_position + I(timeline_position ** 2) + C(category) + log_duration + log_gap + overlap + previous_log_duration,0.031150668846750128,0.031150668846750128,0.0026760826084394483,0.025905643314554805,0.03639569437894545,0.023583319773048506,0.023530708935219802,0.0235616603942177,-3.095145899789653e-05,241284,14588,True,True,False,True,True,True,True,True
13,spec_13_drop_timeline,− Timeline,remove_one_from_full,spec_10_full_timing,timeline,current_stance|lagged_stance|previous_iceberg_ratio|category_fixed_effects|current_duration|response_timing|previous_duration,absolute_stance_change ~ current_stance + previous_stance + previous_log_iceberg_ratio + C(category) + log_duration + log_gap + overlap + previous_log_duration,0.03470322467116066,0.03470322467116066,0.002671245713263392,0.029467679279307404,0.03993877006301392,0.020618918604392134,0.02057020751612737,0.0235616603942177,-0.0029914528780903282,241284,14588,True,True,True,False,True,True,True,True
14,spec_14_drop_category,− Category FE,remove_one_from_full,spec_10_full_timing,category_fixed_effects,current_stance|lagged_stance|previous_iceberg_ratio|timeline|current_duration|response_timing|previous_duration,absolute_stance_change ~ current_stance + previous_stance + previous_log_iceberg_ratio + timeline_position + I(timeline_position ** 2) + log_duration + log_gap + overlap + previous_log_duration,0.02462217870374732,0.02462217870374732,0.00264737744459381,0.01943341425885977,0.029810943148634868,0.013972680187138375,0.013935899407285124,0.0235616603942177,-0.009625760986932574,241284,14588,True,True,True,True,False,True,True,True
15,spec_15_drop_current_duration,− Current duration,remove_one_from_full,spec_10_full_timing,current_duration,current_stance|lagged_stance|previous_iceberg_ratio|timeline|category_fixed_effects|response_timing|previous_duration,absolute_stance_change ~ current_stance + previous_stance + previous_log_iceberg_ratio + timeline_position + I(timeline_position ** 2) + C(category) + log_gap + overlap + previous_log_duration,0.032059129901256665,0.032059129901256665,0.0026150615084124737,0.02693370352741123,0.0371845562751021,0.0236070574081112,0.02355444784930283,0.0235616603942177,-7.212544914869667e-06,241284,14588,True,True,True,True,True,False,True,True
16,spec_16_drop_response_timing,− Gap/overlap,remove_one_from_full,spec_10_full_timing,response_timing,current_stance|lagged_stance|previous_iceberg_ratio|timeline|category_fixed_effects|current_duration|previous_duration,absolute_stance_change ~ current_stance + previous_stance + previous_log_iceberg_ratio + timeline_position + I(timeline_position ** 2) + C(category) + log_duration + previous_log_duration,0.029132704318748447,0.029132704318748447,0.0026541738866178513,0.02393061909227076,0.03433478954522613,0.022899507163567034,0.02285090950403057,0.0235616603942177,-0.0007107508901871284,241284,14588,True,True,True,True,True,True,False,True
17,spec_17_drop_previous_duration,− Previous duration,remove_one_from_full,spec_10_full_timing,previous_duration,current_stance|lagged_stance|previous_iceberg_ratio|timeline|category_fixed_effects|current_duration|response_timing,absolute_stance_change ~ current_stance + previous_stance + previous_log_iceberg_ratio + timeline_position + I(timeline_position ** 2) + C(category) + log_duration + log_gap + overlap,0.030242225030533428,0.030242225030533428,0.0026655517659619167,0.025017839570320933,0.035466610490745926,0.022464844151293906,0.022412173048272255,0.0235616603942177,-0.0011494873459454436,241284,14588,True,True,True,True,True,True,True,False
