model_number,model_name,short_label,comparison_family,reference_model,changed_group,included_variable_groups,formula,agree_move_coefficient,agree_move_estimated_change_percent,agree_move_clustered_se,agree_move_ci95_low,agree_move_ci95_high,disagree_move_coefficient,disagree_move_estimated_change_percent,disagree_move_clustered_se,disagree_move_ci95_low,disagree_move_ci95_high,r_squared,adjusted_r_squared,reference_adjusted_r_squared,delta_adjusted_r_squared,transition_count,episode_count,includes_current_stance,includes_lagged_stance,includes_previous_outcome,includes_timeline,includes_category_fixed_effects,includes_current_duration,includes_response_timing,includes_previous_duration
1,spec_01_stance_core,Core,reference,,current_stance,current_stance,delta_log_explicit_count ~ agree_move + disagree_move,0.42828189260831856,53.46186176451715,0.006299892726093489,0.4159343297587095,0.44062945545792764,-0.5540856748067674,-42.540261003977044,0.006221881948140293,-0.5662803393411823,-0.5418910102723525,0.09160133466650067,0.0915938048679229,,,241284,14588,True,False,False,False,False,False,False,False
2,spec_02_add_lagged_stance,+ Lagged stance,add_one_to_core,spec_01_stance_core,lagged_stance,current_stance|lagged_stance,delta_log_explicit_count ~ agree_move + disagree_move + lag_agree_move + lag_disagree_move,0.2674988798283717,30.66921661157769,0.006427568110092084,0.25490107782441307,0.2800966818323304,-0.43173766849989637,-35.06202929046462,0.006248250283391079,-0.44398401402173504,-0.4194913229780577,0.11235955753568672,0.11234484195012029,0.0915938048679229,0.020751037082197388,241284,14588,True,True,False,False,False,False,False,False
3,spec_03_add_previous_outcome,+ Previous outcome,add_one_to_core,spec_01_stance_core,previous_outcome,current_stance|previous_outcome,delta_log_explicit_count ~ agree_move + disagree_move + previous_log_explicit_count,0.29150390421400363,33.84388590319924,0.004186073072046337,0.28329935175613985,0.2997084566718674,-0.27204013821087064,-23.817631776345245,0.004434303272090211,-0.2807312129206956,-0.2633490635010457,0.5433496830159015,0.5433440051687904,0.0915938048679229,0.45175020030086754,241284,14588,True,False,True,False,False,False,False,False
4,spec_04_add_timeline,+ Timeline,add_one_to_core,spec_01_stance_core,timeline,current_stance|timeline,delta_log_explicit_count ~ agree_move + disagree_move + timeline_position + I(timeline_position ** 2),0.4288137837585293,53.543508482343015,0.006301968294893745,0.41646215286882426,0.44116541464823433,-0.5529662957083,-42.475905760904325,0.006248431901364419,-0.5652129971948254,-0.5407195942217746,0.09163751477062931,0.0916224556484474,0.0915938048679229,2.865078052449732e-05,241284,14588,True,False,False,True,False,False,False,False
5,spec_05_add_category,+ Category FE,add_one_to_core,spec_01_stance_core,category_fixed_effects,current_stance|category_fixed_effects,delta_log_explicit_count ~ agree_move + disagree_move + C(category),0.4295539682731814,53.657201081206786,0.006332944156410454,0.4171416258105135,0.44196631073584924,-0.5527263756730114,-42.462102922462,0.006242717854984965,-0.5649618778344271,-0.5404908735115957,0.09174019465635963,0.09171384384385695,0.0915938048679229,0.00012003897593404478,241284,14588,True,False,False,False,True,False,False,False
6,spec_06_add_current_duration,+ Current duration,add_one_to_core,spec_01_stance_core,current_duration,current_stance|current_duration,delta_log_explicit_count ~ agree_move + disagree_move + log_duration,0.1897759591099261,20.897870664753537,0.005429808709519063,0.1791337295963268,0.20041818862352537,-0.3784451917447447,-31.507449040148337,0.005246473623523305,-0.38872809109268974,-0.3681622923967997,0.33829325127569,0.3382850238210888,0.0915938048679229,0.24669121895316592,241284,14588,True,False,False,False,False,True,False,False
7,spec_07_add_response_timing,+ Gap/overlap,add_one_to_core,spec_01_stance_core,response_timing,current_stance|response_timing,delta_log_explicit_count ~ agree_move + disagree_move + log_gap + overlap,0.42819226719079534,53.44810829742194,0.00629991069278619,0.41584466912711565,0.440539865254475,-0.5544841102223766,-42.5631504386812,0.006233888059399994,-0.5667023063024549,-0.5422659141422984,0.09161227977853736,0.09159722023800176,0.0915938048679229,3.415370078863056e-06,241284,14588,True,False,False,False,False,False,True,False
8,spec_08_add_previous_duration,+ Previous duration,add_one_to_core,spec_01_stance_core,previous_duration,current_stance|previous_duration,delta_log_explicit_count ~ agree_move + disagree_move + previous_log_duration,0.3603645756318778,43.38520668046897,0.0050715446515948275,0.3504245307687652,0.3703046204949904,-0.33065281931955237,-28.154544071090815,0.005149394124787455,-0.3407454463463379,-0.32056019229276683,0.3539765075899399,0.3539684751360389,0.0915938048679229,0.262374670268116,241284,14588,True,False,False,False,False,False,False,True
9,spec_09_exp2_baseline,Exp2 controls,reference,spec_01_stance_core,exp2_control_block,current_stance|lagged_stance|previous_outcome|timeline|category_fixed_effects,delta_log_explicit_count ~ agree_move + disagree_move + lag_agree_move + lag_disagree_move + previous_log_explicit_count + timeline_position + I(timeline_position ** 2) + C(category),0.2488704148911528,28.25758195734627,0.004226836621194928,0.24058596734507576,0.25715486243722985,-0.28291503085010844,-24.641618348429013,0.004725685771613154,-0.2921772047647236,-0.2736528569354933,0.5477765790730731,0.5477540870162112,0.0915938048679229,0.4561602821482883,241284,14588,True,True,True,True,True,False,False,False
10,spec_10_full_timing,Full timing,reference,spec_09_exp2_baseline,timing_control_block,current_stance|lagged_stance|previous_outcome|timeline|category_fixed_effects|current_duration|response_timing|previous_duration,delta_log_explicit_count ~ agree_move + disagree_move + lag_agree_move + lag_disagree_move + previous_log_explicit_count + timeline_position + I(timeline_position ** 2) + C(category) + log_duration + log_gap + overlap + previous_log_duration,0.02935644974185659,2.9791598011364337,0.002566064704915171,0.024327055338223453,0.03438584414548972,-0.053522188589375574,-5.211509145854726,0.0026708427695920755,-0.058756944226145254,-0.048287432952605895,0.8398675990644192,0.8398569796327731,0.5477540870162112,0.29210289261656186,241284,14588,True,True,True,True,True,True,True,True
