stage_number,stance_direction,term,model_name,added_variable_group,reference_model,coefficient,clustered_se,ci95_low,ci95_high,p_value,coefficient_change_from_previous,absolute_change_from_previous,sign_changed_from_previous,ci_excludes_zero,transition_count,episode_count,largest_incremental_change_for_term
1,agreement,agree_move,step_1_stance_only,stance movement,,0.09247103645786216,0.0017541220783409063,0.08903302035982744,0.09590905255589688,0.0,,,,True,241284,14588,False
2,agreement,agree_move,step_2_lagged_stance,lagged stance movement,step_1_stance_only,0.061504997941495346,0.0018307953817523041,0.05791670493019857,0.06509329095279212,2.005663402386864e-247,-0.03096603851636681,0.03096603851636681,False,True,241284,14588,False
3,agreement,agree_move,step_3_previous_outcome,previous iceberg ratio,step_2_lagged_stance,0.0547968467602677,0.0011837128010205988,0.052476812302228296,0.0571168812183071,0.0,-0.0067081511812276465,0.0067081511812276465,False,True,241284,14588,False
4,agreement,agree_move,step_4_timeline,timeline position,step_3_previous_outcome,0.054511915207750866,0.0011819043618777742,0.05219542522529964,0.056828405190202096,0.0,-0.00028493155251683305,0.00028493155251683305,False,True,241284,14588,False
5,agreement,agree_move,iceberg_ratio,category fixed effects,step_4_timeline,0.054421074921784655,0.001176981988870701,0.05211423261314576,0.05672791723042355,0.0,-9.08402859662108e-05,9.08402859662108e-05,False,True,241284,14588,False
6,agreement,agree_move,iceberg_ratio_duration_adjusted,current-turn duration,iceberg_ratio,0.0037654011403828558,0.0009442382492438892,0.001914728179039678,0.005616074101726033,6.669841551807292e-05,-0.0506556737814018,0.0506556737814018,False,True,241284,14588,True
7,agreement,agree_move,iceberg_ratio_timing_adjusted,pre-turn gap and overlap,iceberg_ratio_duration_adjusted,0.003132586308344995,0.0009389438057281341,0.001292290265610879,0.004972882351079112,0.000849053665367558,-0.0006328148320378607,0.0006328148320378607,False,True,241284,14588,False
8,agreement,agree_move,iceberg_ratio_timing_previous_duration,previous-turn duration,iceberg_ratio_timing_adjusted,0.003319649300835781,0.0009401887825259165,0.0014769131484164233,0.0051623854532551385,0.0004142536698170509,0.00018706299249078573,0.00018706299249078573,False,True,241284,14588,False
1,disagreement,disagree_move,step_1_stance_only,stance movement,,-0.12344648323479629,0.001772941399812836,-0.12692138452512947,-0.1199715819444631,0.0,,,,True,241284,14588,False
2,disagreement,disagree_move,step_2_lagged_stance,lagged stance movement,step_1_stance_only,-0.10159165164868021,0.0018186256020176815,-0.10515609232999734,-0.09802721096736308,0.0,0.021854831586116077,0.021854831586116077,False,True,241284,14588,False
3,disagreement,disagree_move,step_3_previous_outcome,previous iceberg ratio,step_2_lagged_stance,-0.0642767943453107,0.0013842814399517614,-0.0669899361120834,-0.061563652578538,0.0,0.03731485730336952,0.03731485730336952,False,True,241284,14588,False
4,disagreement,disagree_move,step_4_timeline,timeline position,step_3_previous_outcome,-0.06542701193781666,0.0013889808972644645,-0.06814936447166914,-0.06270465940396419,0.0,-0.0011502175925059699,0.0011502175925059699,False,True,241284,14588,False
5,disagreement,disagree_move,iceberg_ratio,category fixed effects,step_4_timeline,-0.06547803993262194,0.0013993264955471907,-0.06822066946650708,-0.0627354103987368,0.0,-5.102799480527498e-05,5.102799480527498e-05,False,True,241284,14588,False
6,disagreement,disagree_move,iceberg_ratio_duration_adjusted,current-turn duration,iceberg_ratio,-0.015783314188935804,0.0010108487379804202,-0.017764541309195192,-0.013802087068676415,5.852518533487945e-55,0.049694725743686136,0.049694725743686136,False,True,241284,14588,True
7,disagreement,disagree_move,iceberg_ratio_timing_adjusted,pre-turn gap and overlap,iceberg_ratio_duration_adjusted,-0.013596419672363434,0.0010055257033068628,-0.015567213836374194,-0.011625625508352675,1.1644888478866573e-41,0.00218689451657237,0.00218689451657237,False,True,241284,14588,False
8,disagreement,disagree_move,iceberg_ratio_timing_previous_duration,previous-turn duration,iceberg_ratio_timing_adjusted,-0.01266712605239374,0.001005100794097936,-0.014637087409658302,-0.010697164695129177,2.0367232417546485e-36,0.0009292936199696948,0.0009292936199696948,False,True,241284,14588,False
