prompt,turn_num,num_statements,visibility
prompt1,1,7,explicit
prompt1,2,0,explicit
prompt1,3,7,explicit
prompt1,1,5,explicit
prompt1,2,5,explicit
prompt1,3,7,explicit
prompt1,1,5,explicit
prompt1,2,8,explicit
prompt1,3,4,explicit
prompt1,4,5,explicit
prompt1,5,6,explicit
prompt1,6,5,explicit
prompt1,7,6,explicit
prompt1,8,8,explicit
prompt1,9,5,explicit
prompt1,10,4,explicit
prompt1,11,6,explicit
prompt1,12,4,explicit
prompt1,13,10,explicit
prompt1,14,0,explicit
prompt1,15,6,explicit
prompt1,16,5,explicit
prompt1,17,5,explicit
prompt1,18,5,explicit
prompt1,1,4,explicit
prompt1,2,6,explicit
prompt1,3,5,explicit
prompt1,4,9,explicit
prompt1,5,6,explicit
prompt1,6,0,explicit
prompt1,7,5,explicit
prompt1,8,8,explicit
prompt1,9,5,explicit
prompt1,10,0,explicit
prompt1,11,6,explicit
prompt1,12,9,explicit
prompt1,13,8,explicit
prompt1,14,9,explicit
prompt1,15,6,explicit
prompt1,16,0,explicit
prompt1,17,10,explicit
prompt1,1,5,explicit
prompt1,2,0,explicit
prompt1,3,10,explicit
prompt1,4,4,explicit
prompt1,5,0,explicit
prompt1,6,6,explicit
prompt1,7,8,explicit
prompt1,8,10,explicit
prompt1,9,7,explicit
prompt1,10,6,explicit
prompt1,11,5,explicit
prompt1,12,8,explicit
prompt1,13,10,explicit
prompt1,14,3,explicit
prompt1,1,10,explicit
prompt1,2,10,explicit
prompt1,3,10,explicit
prompt1,4,7,explicit
prompt1,5,5,explicit
prompt1,6,8,explicit
prompt1,7,10,explicit
prompt1,8,4,explicit
prompt1,9,7,explicit
prompt1,10,4,explicit
prompt1,11,10,explicit
prompt1,12,3,explicit
prompt1,13,0,explicit
prompt1,14,5,explicit
prompt1,15,4,explicit
prompt1,16,7,explicit
prompt1,17,3,explicit
prompt1,18,10,explicit
prompt1,19,10,explicit
prompt1,20,5,explicit
prompt1,21,6,explicit
prompt1,22,5,explicit
prompt1,23,5,explicit
prompt1,24,10,explicit
prompt1,25,7,explicit
prompt1,26,10,explicit
prompt1,27,5,explicit
prompt1,28,8,explicit
prompt1,29,6,explicit
prompt1,30,5,explicit
prompt1,31,6,explicit
prompt1,32,5,explicit
prompt1,33,10,explicit
prompt1,34,3,explicit
prompt1,35,10,explicit
prompt1,36,7,explicit
prompt1,37,7,explicit
prompt1,38,9,explicit
prompt1,39,5,explicit
prompt1,40,10,explicit
prompt1,41,3,explicit
prompt1,42,7,explicit
prompt1,43,4,explicit
prompt1,44,10,explicit
prompt1,45,7,explicit
prompt1,46,10,explicit
prompt1,47,5,explicit
prompt1,48,10,explicit
prompt1,49,5,explicit
prompt1,50,10,explicit
prompt1,51,0,explicit
prompt1,52,10,explicit
prompt1,53,4,explicit
prompt1,54,6,explicit
prompt1,55,0,explicit
prompt1,56,10,explicit
prompt1,57,4,explicit
prompt1,58,10,explicit
prompt1,59,8,explicit
prompt1,60,9,explicit
prompt1,61,0,explicit
prompt1,62,10,explicit
prompt1,63,3,explicit
prompt1,64,5,explicit
prompt1,65,5,explicit
prompt1,66,8,explicit
prompt1,67,7,explicit
prompt1,68,10,explicit
prompt1,1,10,explicit
prompt1,2,5,explicit
prompt1,3,7,explicit
prompt1,4,4,explicit
prompt1,5,5,explicit
prompt1,6,4,explicit
prompt1,7,3,explicit
prompt1,8,3,explicit
prompt1,9,6,explicit
prompt1,10,7,explicit
prompt1,11,4,explicit
prompt1,12,4,explicit
prompt1,13,0,explicit
prompt1,14,3,explicit
prompt1,15,6,explicit
prompt1,16,4,explicit
prompt1,17,7,explicit
prompt1,18,5,explicit
prompt1,19,3,explicit
prompt1,20,5,explicit
prompt1,21,5,explicit
prompt1,1,8,explicit
prompt1,2,5,explicit
prompt1,3,10,explicit
prompt1,4,6,explicit
prompt1,5,5,explicit
prompt1,6,10,explicit
prompt1,7,4,explicit
prompt1,8,8,explicit
prompt1,1,5,explicit
prompt1,2,10,explicit
prompt1,3,8,explicit
prompt1,4,7,explicit
prompt1,5,10,explicit
prompt1,1,10,explicit
prompt1,2,5,explicit
prompt1,3,5,explicit
prompt1,4,0,explicit
prompt1,5,4,explicit
prompt1,6,4,explicit
prompt1,7,3,explicit
prompt1,8,3,explicit
prompt1,9,6,explicit
prompt1,10,4,explicit
prompt1,11,10,explicit
prompt1,12,10,explicit
prompt1,13,7,explicit
prompt1,14,0,explicit
prompt1,15,8,explicit
prompt1,16,4,explicit
prompt1,17,7,explicit
prompt1,18,5,explicit
