prompt,episode_key,direction,a_turn_num,b_turn_num,assumptions_in_A,explicits_in_B,max_sim,link
prompt1,177_Surviving_and_thriving_in_a_changing_world_A_94335be5a4,01→00,1,2,5,0,0.0,0
prompt1,177_Surviving_and_thriving_in_a_changing_world_A_94335be5a4,00→01,2,3,0,7,0.0,0
prompt1,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,00→01,1,2,5,5,0.5028395652770996,0
prompt1,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,01→00,2,3,5,7,0.5388651490211487,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,1,2,5,8,0.7934415340423584,1
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,2,3,7,4,0.4086507558822632,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,3,4,4,5,0.5199899673461914,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,4,5,5,6,0.7707973122596741,1
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,5,6,5,5,0.6130995154380798,1
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,6,7,5,6,0.3755606710910797,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,8,9,5,5,0.39096805453300476,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,10,11,5,6,0.41867172718048096,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,11,12,5,4,0.4832552969455719,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,12,13,5,10,0.343383252620697,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,13,14,10,0,0.0,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,14,15,0,6,0.0,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,15,16,5,5,0.48792707920074463,0
prompt1,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,16,17,5,5,0.4292428195476532,0
prompt1,Augmented_Intelligence_with_AI_in_Manufacturing__846df0f35c,01→00,2,3,5,5,0.4416365325450897,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,2,3,10,10,0.34443536400794983,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,9,10,5,4,0.32936158776283264,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,10,11,4,10,0.6014872789382935,1
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,11,12,10,3,0.4855860471725464,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,12,13,4,0,0.0,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,13,14,0,5,0.0,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,14,15,5,4,0.3950932025909424,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,16,17,5,3,0.30067625641822815,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,17,18,4,10,0.4641830623149872,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,20,21,5,6,0.329230934381485,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,21,22,5,5,0.435024619102478,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,22,23,5,5,0.3538673222064972,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,23,24,5,10,0.5770488381385803,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,24,25,10,7,0.5365484356880188,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,25,26,6,10,0.38830670714378357,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,26,27,10,5,0.37866905331611633,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,27,28,5,8,0.5161311030387878,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,30,31,5,6,0.31808605790138245,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,31,32,5,5,0.42856475710868835,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,33,34,10,3,0.5537762641906738,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,34,35,4,10,0.4528391361236572,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,36,37,7,7,0.6018245816230774,1
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,37,38,5,9,0.3652658462524414,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,38,39,9,5,0.4138345718383789,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,39,40,5,10,0.5029258728027344,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,40,41,10,3,0.5405213832855225,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,41,42,4,7,0.757587730884552,1
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,42,43,6,4,0.6757532954216003,1
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,43,44,5,10,0.671901524066925,1
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,44,45,10,7,0.5563374757766724,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,45,46,5,10,0.48185965418815613,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,46,47,10,5,0.5344813466072083,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,47,48,5,10,0.38306865096092224,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,48,49,10,5,0.4295061528682709,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,49,50,4,10,0.7232697010040283,1
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,50,51,10,0,0.0,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,51,52,0,10,0.0,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,52,53,10,4,0.5626802444458008,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,53,54,4,6,0.340742826461792,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,56,57,10,4,0.4412274658679962,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,57,58,4,10,0.43977847695350647,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,63,64,4,5,0.33025702834129333,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,64,65,5,5,0.24550001323223114,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,65,66,5,8,0.503255307674408,0
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,66,67,8,7,0.6230520606040955,1
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,67,68,5,10,0.30946528911590576,0
prompt1,How_AI_and_supercomputing_are_going_green_6151588f57,01→00,1,2,5,5,0.3859875202178955,0
prompt1,How_AI_and_supercomputing_are_going_green_6151588f57,00→01,2,3,5,10,0.32912230491638184,0
prompt1,How_AI_and_supercomputing_are_going_green_6151588f57,01→00,4,5,5,5,0.3791060745716095,0
prompt1,How_AI_and_supercomputing_are_going_green_6151588f57,00→01,5,6,5,10,0.4005683362483978,0
prompt1,How_AI_and_supercomputing_are_going_green_6151588f57,01→00,7,8,4,8,0.38640162348747253,0
prompt1,How_I_Taught_My_7_Year_About_Machine_Learning_an_a100b13a0d,01→00,1,2,5,10,0.5320417881011963,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,2,3,5,5,0.45611125230789185,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,3,4,5,0,0.0,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,4,5,0,4,0.0,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,6,7,4,3,0.34630540013313293,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,8,9,4,6,0.5466485619544983,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,9,10,6,4,0.402519166469574,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,10,11,4,10,0.6160091161727905,1
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,13,14,5,0,0.0,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,14,15,0,8,0.0,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,15,16,5,4,0.2976287007331848,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,16,17,5,7,0.38445475697517395,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,20,21,4,4,0.4275193214416504,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,22,23,4,8,0.3829653263092041,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,23,24,5,5,0.3702355623245239,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,25,26,5,0,0.0,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,28,29,0,0,0.0,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,29,30,0,4,0.0,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,30,31,4,5,0.39595502614974976,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,31,32,5,5,0.4074617922306061,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,35,36,4,5,0.3542369306087494,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,36,37,5,0,0.0,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,38,39,7,2,0.2190239131450653,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,01→00,39,40,4,8,0.5553263425827026,0
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,00→01,41,42,5,0,0.0,0
prompt1,The_potential_of_AI_in_healthcare_014edaaac0,00→01,1,2,5,5,0.3427644968032837,0
prompt1,The_potential_of_AI_in_healthcare_014edaaac0,01→00,13,14,5,3,0.3835214674472809,0
prompt1,The_potential_of_AI_in_healthcare_014edaaac0,00→01,14,15,4,7,0.41230523586273193,0
prompt1,What_history_can_teach_us_about_the_future_of_AI_de90e4fe5f,00→01,1,2,5,7,0.4738045036792755,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,00→01,2,3,6,5,0.611803412437439,1
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,01→00,3,4,5,4,0.4963018596172333,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,00→01,4,5,4,6,0.5764150619506836,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,01→00,5,6,6,5,0.5131653547286987,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,00→01,6,7,5,10,0.5902463793754578,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,01→00,8,9,3,0,0.0,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,00→01,9,10,0,8,0.0,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,01→00,10,11,7,5,0.5388719439506531,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,00→01,11,12,5,10,0.5873624086380005,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,01→00,12,13,10,5,0.6773427128791809,1
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,00→01,13,14,5,0,0.0,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,01→00,14,15,0,8,0.0,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,00→01,15,16,6,8,0.5960756540298462,0
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,01→00,16,17,8,5,0.33438318967819214,0
prompt2,177_Surviving_and_thriving_in_a_changing_world_A_94335be5a4,01→00,1,2,5,10,0.5771341323852539,0
prompt2,177_Surviving_and_thriving_in_a_changing_world_A_94335be5a4,00→01,2,3,10,5,0.4176047444343567,0
prompt2,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,00→01,1,2,5,6,0.48400232195854187,0
prompt2,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,01→00,2,3,5,8,0.46991464495658875,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,1,2,4,7,0.7950921058654785,1
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,2,3,5,7,0.44468897581100464,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,3,4,5,5,0.45415687561035156,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,4,5,5,8,0.6188778877258301,1
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,5,6,10,5,0.7142636775970459,1
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,6,7,5,7,0.422741174697876,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,8,9,5,5,0.35220155119895935,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,10,11,5,4,0.5236636996269226,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,11,12,4,5,0.4088035821914673,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,12,13,5,8,0.48290789127349854,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,13,14,10,5,0.42274436354637146,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,14,15,5,7,0.6146547794342041,1
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,01→00,15,16,10,6,0.47657662630081177,0
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,00→01,16,17,10,4,0.462080180644989,0
prompt2,Augmented_Intelligence_with_AI_in_Manufacturing__846df0f35c,01→00,2,3,5,7,0.5502523183822632,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,2,3,10,10,0.23960542678833008,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,9,10,5,4,0.430833637714386,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,10,11,5,10,0.32412466406822205,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,11,12,10,3,0.5772580504417419,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,12,13,4,0,0.0,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,13,14,0,0,0.0,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,14,15,0,4,0.0,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,16,17,5,4,0.38852763175964355,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,17,18,4,5,0.2889176607131958,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,20,21,4,6,0.30984199047088623,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,21,22,5,5,0.47785866260528564,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,22,23,5,4,0.30562084913253784,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,23,24,5,8,0.47361963987350464,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,24,25,10,5,0.5660719275474548,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,25,26,5,10,0.35507556796073914,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,26,27,10,6,0.40439218282699585,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,27,28,5,10,0.6292802691459656,1
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,30,31,5,6,0.324836403131485,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,31,32,5,6,0.3976651430130005,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,33,34,10,4,0.7105517983436584,1
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,34,35,4,10,0.556124210357666,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,36,37,10,8,0.5032923221588135,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,37,38,5,10,0.4184291362762451,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,38,39,10,5,0.4585895240306854,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,39,40,5,10,0.5173713564872742,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,40,41,10,2,0.38233718276023865,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,41,42,7,7,0.6952059864997864,1
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,42,43,6,4,0.7649462819099426,1
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,43,44,5,10,0.682100772857666,1
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,44,45,10,0,0.0,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,00→01,45,46,0,10,0.0,0
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,01→00,46,47,10,5,0.593784749507904,0
